Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield
ALPA,Alpa Laboratories Ltd.,,3.46,3.46,4.04,55.85,55.85,0.0,46.36,5.76,5.18,5.13,3.45,,12.42,11.16,11.06,7.44,6.18,9.24,4.83,0.0,64.93,,3.69,3.18,5.89,0,0.0,0,0.0,,65.84,0.67,5.43,0.78,0,0.65,0.78,0.1
ALPHAGEO,Alphageo (India) Ltd.,,11.68,11.68,52.31,367.72,367.72,8.0,224.35,59.14,18.48,15.69,11.65,,26.36,8.23,6.99,5.19,3.16,5,2.64,0.0,50.91,,3.99,3.96,105.03,0,0.0,0,0.0,,72.78,0.51,1.93,0.79,0,0.48,0.79,0.07
ALPSINDUS,Alps Industries Ltd.,,-19.06,-19.06,-17.01,-166.33,-166.33,0.0,64.96,-4.57,-6.62,-19.06,-19.06,,-7.03,-10.19,-29.34,-29.34,0,13.11,-37.66,-0.94,128.37,,0.18,0.11,8.64,0,0.0,0,0.0,,777.38,3.06,-43.49,0.03,0,-0.01,0.03,-10.77
AMBICAAGAR,Ambica Agar Ltd.,,1.59,1.59,3.43,58.24,58.24,0.0,83.48,5.87,4.04,-0.29,1.59,,7.03,4.83,-0.34,1.9,2.73,3.62,1.29,0.69,0.69,,2.96,2.29,0.83,0,0.0,0,0.0,,73.46,0.51,7.28,0.05,0,0.07,0.05,0.4
AMBIKCO,Ambika Cotton Mills Ltd.,,118.68,118.68,169.23,987.26,987.26,35.0,"1,106.31",219.69,169.14,157.89,118.68,,19.85,15.28,14.27,10.72,12.02,16.38,10.8,0.0,100.67,,9.72,1.53,2.02,12.63,8.86,87.37,91.14,,508.14,0.8,4.04,0.81,87.36,0.9,0.81,0.13
AMDIND,AMD Industries Ltd.,,1.62,1.62,6.55,68.8,68.8,0.0,61.88,6.83,1.9,2.15,1.62,,11.03,3.07,3.47,2.61,2.35,2.42,1.27,0.33,48.53,,1.22,0.61,2.05,0,0.0,0,0.0,,71.49,0.6,5.46,0.29,0,0.26,0.29,0.09
AMJLAND,AMJ Land Ltd.,,1.14,1.14,1.59,27.22,27.22,0.2,2.73,2.09,1.64,1.64,1.14,,76.49,59.99,59.98,41.52,4.17,5.59,3.55,0.1,0.09,,6.91,4.13,0,0,0.0,0,0.0,,97.49,8.7,11.37,8.07,0,0.81,8.07,0.05
AMRUTANJAN,Amrutanjan Health Care Ltd.,,20.94,20.94,22.19,73.75,73.75,4.2,113.87,29.45,28.19,28.02,20.93,,25.86,24.75,24.6,18.38,28.38,37.09,22.31,0.0,1.39,,4.28,3.94,4.23,7.64,7.21,92.36,92.79,,"1,521.73",4.57,17.68,4.99,92.35,7.71,4.99,0.04
ANANTRAJ,Anant Raj Ltd.,,0.69,0.69,1.19,83.64,83.64,0.1,8.69,2.37,1.85,1.03,0.68,,27.23,21.34,11.81,7.84,0.81,1.41,0.46,0.59,5.88,,4.54,1.93,0.2,4.1,2.34,95.9,97.66,,"3,048.45",11.89,43.65,6.27,95.89,0.65,6.27,0.01
ANDHRAPAP,Andhra Paper Ltd.,,-1.16,-1.16,17.3,245.21,245.21,5.0,222.97,19.14,0.68,-1.56,-1.16,,8.58,0.3,-0.69,-0.51,-0.47,0.25,-0.34,0.03,0.67,,2.21,1.56,2.71,0,0.0,0,0.0,,820.56,0.93,10.78,0.98,0,0.9,0.98,-0.01
ANDHRSUGAR,The Andhra Sugar Ltd.,,37.66,37.66,47.22,413.76,413.76,10.0,350.32,81.2,71.64,47.6,37.66,,23.17,20.44,13.58,10.74,9.1,14.49,6.55,0.06,60.99,,3.16,1.57,2.74,0,0.0,0,0.0,,842.73,0.89,3.83,0.83,0,0.7,0.83,0.13
ANIKINDS,Anik Industries Ltd.,,1.64,1.64,1.94,95.74,95.74,0.0,48.18,6.44,6.14,2.28,1.64,,13.35,12.74,4.72,3.41,1.71,5.15,0.7,0.39,0.21,,1.42,1.25,0.66,0,0.0,0,0.0,,113.04,0.85,6.33,0.3,0,0.15,0.3,0.11
ANKITMETAL,Ankit Metal and Power Ltd.,,-5.36,-5.36,-2.22,-52.03,-52.03,0.0,29.61,-0.9,-4.04,-5.36,-5.36,,-3.05,-13.65,-18.11,-18.11,0,10.23,-6.22,-0.75,34.35,,0.4,0.08,0.73,0,0.0,0,0.0,,566.14,1.35,-44.41,0.03,0,-0.02,0.03,-5.26
ANTGRAPHIC,Antarctica Ltd.,,0,0,0.01,0.82,1.08,0.0,0.07,0.01,0,0,0,,12.71,2.02,1.66,1.57,0.13,0.11,0.08,0.23,5.36,,24.68,13.37,0.25,0,0.0,0,0.0,,38.56,35.81,281.57,33.26,0,2.81,33.29,0.0
ANUP,The Anup Engineering Ltd.,,52.75,52.75,65.37,343.18,343.18,7.0,283.92,73.8,63.12,62.77,54.69,,25.99,22.22,22.1,19.26,15.93,17.73,12.47,0.0,64.77,,2.67,1.85,4.18,13.29,11.11,86.71,88.89,,536.67,1.92,7.4,2.01,86.7,1.66,2.01,0.1
APEX,Apex Frozen Foods Ltd.,,14.17,14.17,21.19,140.74,140.74,2.0,261.91,31.51,24.49,19.39,14.17,,12.02,9.34,7.4,5.41,10.06,16.35,6.74,0.38,124.61,,2.04,1.19,5.08,0,0.0,0,0.0,,804.31,0.98,8.17,0.79,0,1.47,0.79,0.07
APLAPOLLO,APL Apollo Tubes Ltd.,,12.34,12.3,17.77,116,116,0.0,481.02,26.27,20.81,16.41,12.31,,5.46,4.32,3.41,2.55,10.61,14.35,5.45,0.3,213.05,,1.16,0.61,10.92,0,0.0,0,0.0,,"17,581.28",2.93,53.59,2.91,0,12.07,2.91,0.01
APLLTD,Alembic Pharmaceuticals Ltd.,,60.67,60.67,67.56,267.32,267.32,14.0,257.01,80.49,72.72,72.07,59.8,,31.31,28.29,28.04,23.26,22.37,25.28,17.34,0.04,74.54,,2.11,0.94,3.84,0,0.0,0,0.0,,"19,108.71",3.78,12.08,3.76,0,3.61,3.76,0.06
APOLLOTYRE,Apollo Tyres Ltd.,,11.72,11.72,22.61,149.15,149.15,3.5,184.75,33.94,22.71,16.56,11.38,,18.37,12.29,8.96,6.16,7.63,9.72,3.77,0.4,0.66,,1.13,0.65,3.21,0,0.0,0,0.0,,"16,571.03",1.41,7.69,1.21,0,1.5,1.21,0.05
APOLSINHOT,Apollo Sindoori Hotels Ltd.,,25.15,25.15,35.54,181.54,181.54,0.63,620.21,45.26,34.88,30.34,25.15,,7.29,5.62,4.89,4.05,13.85,13.91,7.08,0.02,174.8,,2.55,2.49,94.67,7.95,5.62,92.05,94.38,,126.17,0.78,10.72,0.92,92.04,3.13,0.92,0.04
ARCHIDPLY,Archidply Industries Ltd.,,1.03,1.03,3.25,42.1,42.1,0.0,116.21,6.87,4.75,2.35,1.14,,5.9,4.08,2.02,0.97,2.69,10.18,1.17,0.73,120.39,,1.38,0.92,5.04,0,0.0,0,0.0,,109.67,0.48,8.04,0.25,0,0.69,0.25,0.04
ARCHIES,Archies Ltd.,,-0.7,-0.7,4.37,28.04,31.85,0.0,16.37,6.1,1.02,-1.19,-0.7,,37.24,6.22,-7.27,-4.29,-2.5,2.39,-1.25,0.19,29.11,,1.57,0.31,0.95,0,0.0,0,0.0,,51.15,0.92,2.48,0.62,0,0.36,0.62,-0.07
ARCOTECH,Arcotech Ltd.,,-2.53,-2.53,-1.47,4.74,4.74,0.0,4.99,-0.29,-1.34,-3.73,-2.53,,-5.75,-26.87,-74.75,-50.64,-53.29,-16.22,-4.24,7.87,0.08,,0.7,0.59,0.92,0,0.0,0,0.0,,412.25,7.87,-136.87,0.34,0,0.36,0.34,-1.47
ARENTERP,Rajdarshan Industries Ltd.,,8.97,8.97,2.33,58.47,58.47,0.0,0,2.99,2.94,2.93,2.27,,0,0,0,0,3.88,5.01,3.86,0.0,0.0,,109.96,109.96,0,0,0.0,0,0.0,,0.85,0,0.92,0,0,0.18,0,0.21
ARIES,Aries Agro Ltd.,,17.41,17.41,22.32,146.51,146.51,0.8,293.33,47.98,43.07,23.13,17.41,,16.35,14.68,7.88,5.93,11.88,26.18,4.76,0.67,80.22,,1.49,0.95,2.71,0,0.0,0,0.0,,224.42,0.59,3.6,0.26,0,0.53,0.26,0.23
ARIHANTSUP,Arihant Superstructures Ltd.,,0.95,0.95,1.13,28.76,28.76,0.0,25.62,3.45,3.27,0.94,0.95,,13.48,12.78,3.66,3.69,3.29,9.94,1.72,0.16,46.61,,2.43,0.85,0.74,0,0.0,0,0.0,,159.17,1.51,11.2,1.38,0,1.23,1.38,0.03
ARROWGREEN,Arrow Greentech Ltd.,,1.79,1.79,4.79,42.77,42.77,0.0,19,4.58,1.59,1.14,1.79,,24.11,8.34,6,9.42,4.18,3.51,3.54,0.05,37.58,,2.88,2.47,8.53,0,0.0,0,0.0,,87.23,3.26,13.51,3.48,0,1.55,3.48,0.03
ARVIND,Arvind Ltd.,,3.58,3.57,12.71,113.59,113.59,0.0,174.9,20.43,11.3,2.16,3.58,,11.68,6.46,1.23,2.04,3.15,6.96,1.4,0.6,68.52,,1.1,0.68,4.53,0,0.0,0,0.0,,"3,454.43",0.76,6.53,0.38,0,0.58,0.38,0.05
ARVSMART,Arvind SmartSpaces Ltd.,,3.93,3.93,4.17,94.55,94.55,0.0,26.4,10.83,10.59,5.06,3.93,,41.03,40.12,19.16,14.88,4.15,8.7,2.32,0.28,15.62,,1.84,0.61,0.45,0,0.0,0,0.0,,416.83,4.44,10.82,3.66,0,1.02,3.66,0.04
ASAHIINDIA,Asahi India Glass Ltd.,,5.71,5.71,10.95,61.15,61.15,1.0,97.92,19.9,14.66,8.97,5.71,,20.32,14.97,9.15,5.83,9.33,14.06,3.67,0.82,63.03,,1.02,0.51,3.78,0,0.0,0,0.0,,"8,681.01",3.65,17.94,3.16,0,5.06,3.16,0.02
ASAL,Automotive Stampings and Assemblies Ltd.,,-18.72,-18.72,-11.49,-55.92,-55.92,0.0,213.77,0.04,-7.19,-18.72,-18.72,,0.01,-3.36,-8.75,-8.75,0,23.96,-16.98,-1.74,193.97,,0.38,0.21,9.23,0,0.0,0,0.0,,207.19,0.61,"3,529.63",0.16,0,-0.6,0.16,-0.56
ASHIANA,Ashiana Housing Ltd.,,0.46,0.46,1.19,73.86,73.86,0.4,18.71,2,1.17,0.3,0.35,,10.7,6.25,1.6,1.89,0.48,1.46,0.28,0.07,0.16,,2.5,0.87,0,84.57,25.26,15.43,74.74,,"1,276.45",6.66,62.27,7.05,15.42,1.79,7.05,0.0
ASHIMASYN,Ashima Ltd.,,-0.61,-0.61,-0.37,10.97,10.97,0.0,7.38,-0.2,-0.44,-0.6,-0.61,,-2.67,-5.95,-8.19,-8.31,-5.59,-3.67,-4.35,0.06,0.5,,3.06,2.16,1.24,0,0.0,0,0.0,,269.33,1.9,-71.06,2.15,0,1.44,2.15,-0.04
ASHOKA,Ashoka Buildcon Ltd.,,14.54,14.54,17.64,107.11,107.11,0.0,135.99,25.35,22.24,19.49,14.54,,18.64,16.35,14.33,10.69,13.57,18.03,7.43,0.12,69.57,,1.12,1.03,22.23,0,0.0,0,0.0,,"3,075.04",0.81,4.32,0.75,0,0.95,0.75,0.14
ASIANHOTNR,Asian Hotels (North) Ltd.,,-357.34,-357.34,-348.69,-26.4,190.99,0.0,37.31,-9.31,-17.95,-357.33,-357.34,,-24.94,-48.11,-957.7,-957.71,0,-2.82,-43.97,-18.67,4.59,,0.08,0.06,12.48,0,0.0,0,0.0,,"1,074.84",14.81,-59.36,1.62,0,-2.29,1.62,-5.91
ASIANPAINT,Asian Paints Ltd.,,31.82,31.82,39.09,126.05,126.05,17.85,193.04,50.65,43.38,42.64,31.82,,26.23,22.47,22.08,16.48,25.24,31.99,17.35,0.0,1.19,,2.18,1.49,2.86,15.24,12.4,84.76,87.6,,"243,204.46",13.13,50.05,13.14,84.75,20.12,13.14,0.01
ASPINWALL,Aspinwall and Company Ltd.,,8.26,8.26,12.38,177.56,177.56,3.5,319.32,21.23,17.11,11.75,8.26,,6.64,5.35,3.68,2.58,4.65,9.24,2.79,0.22,1.07,,1.61,0.84,0.98,0,0.0,0,0.0,,174.99,0.7,10.54,0.6,0,1.07,0.6,0.04
ASTRAL,Astral Ltd.,,16.27,16.27,21.05,81.79,81.85,2.0,123.7,27.62,22.84,21.85,16.26,,22.33,18.46,17.66,13.14,19.88,27.11,14.71,0.01,111.88,,1.71,1.03,6.9,4.61,3.56,95.39,96.44,,"32,180.87",12.94,57.96,13.07,95.38,19.77,13.07,0.01
ASTRAZEN,AstraZeneca Pharma Ltd.,,37.3,37.3,45.37,182.47,182.47,2.0,325.42,59.32,51.27,50.84,37.32,,18.22,15.75,15.62,11.46,20.45,27.2,12.04,0.0,105.01,,2.04,1.51,5.09,5.35,4.4,94.65,95.6,,"7,173.15",8.82,48.37,9.25,94.64,16.5,9.25,0.01
ASTRON,Astron Paper & Board Mill Ltd.,,2.09,2.09,5.99,37.23,37.23,0.0,93.59,9.17,7.87,5.78,4.69,,9.8,8.41,6.17,5.01,12.6,19.45,7.14,0.26,1.41,,1.33,0.95,5.98,0,0.0,0,0.0,,225.43,0.52,5.29,0.44,0,1.1,0.44,0.11
ATFL,Agro Tech Foods Ltd.,,12.81,12.81,19.82,178.07,178.07,3.0,365.91,25.33,17.94,17.22,12.43,,6.92,4.9,4.7,3.39,6.98,9.52,5.51,0.0,162.27,,2.34,1,7.35,23.41,14.68,76.59,85.32,,"2,034.14",2.28,32.95,2.29,76.58,4.71,2.29,0.01
ATGL,Adani Total Gas Ltd.,,4.29,4.29,4.86,17.75,17.75,0.25,15.42,6.81,6.24,5.74,4.29,,44.15,40.46,37.22,27.83,24.17,28.42,14.64,0.22,52.62,,0.28,0.21,32.6,0,0.0,0,0.0,,"106,138.10",62.6,141.77,62.35,0,54.15,62.35,0.0
ATLASCYCLE,Atlas Cycle Industries Ltd.,,-54.11,-54.11,-48.55,30.25,30.25,0.0,26.6,-48.43,-54,-54.11,-54.11,,-182.09,-203,-203.44,-203.44,-178.88,-125.6,-22.97,0.46,0.1,,0.55,0.38,0.45,0,0.0,0,0.0,,24.83,1.44,-0.79,0.99,0,0.87,0.99,-2.06
ATNINTER,ATN International Ltd.,,-1.4,-1.4,-1.4,-1.63,-1.63,0.0,0.01,-1.4,-1.4,-1.4,-1.4,,"-9,420.43","-9,424.40","-9,424.40","-9,424.40",0,86.43,-105.36,-1.49,1.11,,0.3,0.3,0,0,0.0,0,0.0,,10.18,173.18,-1.84,12.75,0,-0.12,12.84,-7.39
