Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield
ADROITINFO,Adroit Infotech Ltd.,,-7.84,-7.84,-7.66,3.46,3.46,0.0,4.39,0.39,0.21,-7.85,-7.84,,8.88,4.76,-178.87,-178.56,-226.87,5.91,-82.3,0.04,46.09,,0.45,0.45,0,0,0.0,0,0,,8.56,1.07,12.01,1.04,0,1.32,1.04,-1.72
ADSL,Allied Digital Services Ltd.,,1.57,1.57,4.3,93.88,93.88,0.5,18.76,5.61,2.88,1.65,1.57,,29.91,15.37,8.8,8.36,1.67,2.86,1.3,0.11,15.58,,2.67,2.32,2.7,0,0.0,0,0,,106.72,1.13,3.79,0.68,0,0.14,0.68,0.12
ADVANIHOTR,Advani Hotels and Resorts (India) Ltd.,,2.44,2.44,3.25,10.23,10.23,1.9,15.17,3.9,3.09,3.04,2.44,,25.69,20.35,20.03,16.05,23.8,26.28,16.64,0.01,0.98,,1.43,1.31,0,77.97,58.52,22.03,41.48,,137.46,1.96,7.63,1.99,22.02,2.95,1.99,0.08
AGARIND,Agarwal Industrial Corporation Ltd.,,14.39,14.39,22.13,141.76,141.76,1.5,732.65,36.1,28.37,19.72,14.39,,4.92,3.87,2.69,1.96,10.15,19.14,5.43,0.59,276.7,,1.81,1.6,29.78,12.5,8.13,87.5,91.87,,125.38,0.17,3.39,0.06,87.49,0.31,0.06,0.32
AGI,AGI Greenpac Ltd.,,6.69,6.69,26.46,173.85,173.85,3.0,257.14,40.3,20.54,10.37,6.7,,15.67,7.98,4.03,2.6,3.85,6.59,1.68,0.75,64.81,,1.45,0.79,4.56,54.01,13.67,45.99,86.33,,"1,173.34",0.63,4.03,0.15,45.98,0.23,0.15,0.17
AGRITECH,Agri-Tech (India) Ltd.,,0.78,0.78,0.83,180.3,180.3,0.0,0.65,0.83,0.79,0.79,0.79,,127.93,122.2,122.2,122.2,0.43,0.43,0.43,0.01,0.0,,53.44,53.43,0,0,0.0,0,0,,11.8,30.72,24.02,29.24,0,0.1,29.26,0.04
AGROPHOS,Agro Phos India Ltd.,,1.93,1.93,2.49,18.95,18.95,0.0,25.62,3.88,3.32,2.21,1.93,,15.15,12.97,8.6,7.54,10.2,16.3,4.68,0.45,0.68,,1.65,1.02,1.74,0,0.0,0,0,,27.95,0.54,3.55,0.22,0,0.3,0.22,0.34
AIAENG,AIA Engineering Ltd.,,88.27,88.27,98.39,382.98,382.98,27.0,274.34,112.18,102.06,101.51,88.27,,40.89,37.2,36.99,32.17,23.04,25.96,20.84,0.03,64.78,,10.45,8.94,5.95,30.58,27.44,69.42,72.56,,"13,084.39",5.06,12.37,5.04,69.41,3.61,5.04,0.06
AIRAN,Airan Ltd.,,0.53,0.53,0.83,6.44,6.44,0.0,4.53,0.99,0.66,0.61,0.51,,21.74,14.66,13.41,11.28,7.94,8.88,6.39,0.09,56.7,,6.56,6.56,0,0,0.0,0,0,,124.46,2.2,10.1,2.08,0,1.47,2.08,0.05
AJANTPHARM,Ajanta Pharma Ltd.,,50.55,50.55,60.71,280.65,280.65,13.0,250.45,81.75,71.34,69.86,50.3,,32.64,28.48,27.89,20.08,17.92,24.3,14.46,0,72.03,,2.98,2.06,5.04,25.71,21.3,74.29,78.7,,"11,893.72",5.42,16.59,5.46,74.28,4.87,5.46,0.04
AJMERA,Ajmera Realty and Infra India Ltd.,,7.91,7.91,8.47,163.82,163.82,1.4,90.92,29.49,28.97,10.63,7.95,,32.43,31.86,11.68,8.74,4.85,7.33,1.79,1.25,20.55,,4.92,1.33,0.54,17.6,16.52,82.4,83.48,,940.14,2.91,8.98,0.7,82.39,0.39,0.7,0.12
AKSHARCHEM,AksharChem (India) Ltd.,,19.17,19.17,27.37,323.45,323.45,3.5,317.15,32.85,24.65,23.3,19.17,,10.35,7.77,7.34,6.04,5.92,7.24,4.86,0.05,80.55,,2.73,1.77,6.16,18.25,12.78,81.75,87.22,,136.03,0.52,5.05,0.48,81.74,0.47,0.48,0.13
AKSHOPTFBR,Aksh Optifibre Ltd.,,-15.23,-15.23,-14.17,16.26,16.26,0.0,15.36,1.65,0.6,-15.52,-15.23,,10.74,3.89,-101.03,-99.1,-93.64,2.98,-43.51,0.5,0.34,,0.89,0.72,2.14,0,0.0,0,0,,163.65,0.65,6.09,0.2,0,0.19,0.2,-4.94
AKZOINDIA,Akzo Nobel India Ltd.,,52.13,52.13,69.39,271.07,271.34,14.0,583.73,91.38,74.06,70.88,52.06,,15.65,12.68,12.14,8.91,19.2,24.51,10.2,0,114.46,,1.63,1.19,6.28,55.51,41.65,44.49,58.35,,"9,483.05",3.56,22.76,3.77,44.48,8.12,3.77,0.02
ALBERTDAVD,Albert David Ltd.,,33.59,33.59,47.03,390.38,390.38,7.0,562.09,65.58,52.13,50.73,33.59,,11.66,9.27,9.02,5.97,8.6,12.43,5.98,0.01,100.18,,2.48,1.95,7.51,46.66,33.32,53.34,66.68,,178.32,0.56,4.76,0.57,53.33,0.82,0.57,0.1
ALEMBICLTD,Alembic Ltd.,,3.64,3.64,3.77,18.81,18.81,0.6,2.87,3.78,3.66,3.65,3.64,,131.88,127.51,127.13,126.95,19.36,19.21,17.51,0,13.79,,3.59,2.81,2.08,6.61,6.39,93.39,93.61,,858.85,11.66,8.84,12.44,93.38,1.9,12.44,0.1
ALKALI,Alkali Metals Ltd.,,0.94,0.94,4.62,48.56,49.38,1.0,69.58,7.11,3.73,1.1,1.23,,10.22,5.35,1.57,1.77,2.53,6.72,1.44,0.37,81.32,,1.12,0.43,3.32,215.2,57.45,-115.2,42.55,,41.1,0.58,5.67,0.36,-115.2,0.52,0.36,0.05
ALKEM,Alkem Laboratories Ltd.,,105.75,105.75,121.39,525.34,525.34,25.0,558.52,130.79,115.16,111.93,105.76,,23.41,20.61,20.03,18.93,20.13,21.09,13.88,0.19,73.32,,1.64,1.22,6.11,28.36,24.71,71.64,75.29,,"28,285.17",4.24,18.09,4.17,71.63,4.43,4.17,0.05
ALLSEC,ALLSEC Technologies Ltd.,,6.2,6.2,15.75,92.26,92.26,0.0,132.11,30.58,21.04,11.93,6.2,,23.15,15.92,9.02,4.69,6.72,20.62,5.06,0,107.97,,3.88,3.88,0,161.26,63.5,-61.26,36.5,,144.3,0.72,3.1,0.91,-61.26,1.3,0.91,0.05
ALPA,Alpa Laboratories Ltd.,,1.95,1.95,2.48,52.39,52.39,0.0,40.86,3.05,2.51,2.41,1.94,,7.46,6.13,5.9,4.74,3.69,4.77,3.1,0,65.52,,4.54,3.93,6.85,0,0.0,0,0,,23.94,0.28,3.73,0.35,0,0.27,0.35,0.14
ALPHAGEO,Alphageo (India) Ltd.,,-15.87,-15.87,26.25,356.05,356.05,8.0,419.42,31.15,-10.94,-14.88,-15.83,,7.42,-2.6,-3.54,-3.77,-4.44,-3.05,-3.39,0.12,90.04,,2.84,2.82,260.14,-121.55,73.31,221.55,26.69,,42.98,0.16,2.16,0.3,221.55,0.35,0.3,-0.13
ALPSINDUS,Alps Industries Ltd.,,-29.43,-29.43,-25.64,-147.27,-147.27,0.0,80.07,-13.47,-17.26,-29.43,-29.43,,-16.82,-21.55,-36.74,-36.74,0,43.85,-50.4,-1.06,137.16,,0.15,0.08,12.21,0,0.0,0,0,,730.15,2.33,-13.85,0.01,0,-0.01,0.01,-39.76
AMBICAAGAR,Ambica Agar Ltd.,,2.48,2.48,4.24,56.58,56.58,0.0,97.51,8.34,6.58,2.12,2.48,,8.55,6.74,2.17,2.54,4.38,5.96,2.08,0.68,81.97,,3.48,2.56,12.36,0,0.0,0,0,,69.38,0.41,4.84,0.04,0,0.07,0.04,0.62
AMBIKCO,Ambika Cotton Mills Ltd.,,91.28,91.28,139.46,883.96,883.96,15.0,"1,088.37",185.27,137.09,120.76,91.28,,17.02,12.59,11.09,8.38,10.32,14.63,8.34,0.14,99.5,,4.02,0.66,2.06,32.86,21.51,67.14,78.49,,365.6,0.59,3.45,0.49,67.13,0.6,0.49,0.17
AMDIND,AMD Industries Ltd.,,2.7,2.7,8.03,67.14,67.14,0.0,91.07,9.33,4,3.09,2.7,,10.24,4.39,3.39,2.96,4.02,5.19,2.23,0.3,75.26,,1.25,0.65,3.45,0,0.0,0,0,,53.86,0.31,3.01,0.1,0,0.14,0.1,0.28
AMJLAND,AMJ Land Ltd.,,2.36,2.36,2.82,25.42,25.42,0.2,4.17,3.11,2.66,2.65,2.36,,74.45,63.66,63.56,56.64,9.3,9.46,7.66,0.1,13.52,,7.06,4.14,0.51,21.14,17.76,78.86,82.24,,61.51,3.59,4.83,3.35,78.85,0.55,3.35,0.17
AMRUTANJAN,Amrutanjan Health Care Ltd.,,8.58,8.58,10.07,54.54,54.54,2.1,89.45,13.35,11.86,11.79,8.58,,14.92,13.26,13.17,9.59,15.73,20.85,12.21,0,1.33,,3.22,2.61,4.6,18.06,15.38,81.94,84.62,,928.15,3.55,23.78,3.69,81.93,6.05,3.69,0.03
ANANTRAJ,Anant Raj Ltd.,,0.93,0.93,1.47,82.84,82.84,0.08,13.84,2.26,1.72,1.37,0.93,,16.34,12.43,9.88,6.69,1.11,1.4,0.62,0.53,9.33,,2.75,1.15,0.33,9.44,5.96,90.56,94.04,,"1,865.77",4.57,27.96,1.43,90.55,0.24,1.43,0.05
ANDHRAPAP,Andhra Paper Ltd.,,53.54,53.54,72.62,245.37,245.37,0.0,319.26,79.71,60.63,59.29,53.54,,24.96,18.99,18.57,16.76,21.81,21.95,16.11,0.01,96.1,,2.56,1.56,5.68,0,0.0,0,0,,411.61,0.32,1.3,0.45,0,0.59,0.45,0.37
ANDHRSUGAR,The Andhra Sugar Ltd.,,70.15,70.15,90.98,372.52,372.52,20.0,383.87,106,85.17,74.98,70.14,,27.61,22.18,19.53,18.27,18.82,17.68,12.48,0.17,68.32,,3.12,1.43,2.81,42.76,32.97,57.24,67.03,,630.61,0.61,2.19,0.47,57.23,0.48,0.47,0.39
ANIKINDS,Anik Industries Ltd.,,-13.59,-13.59,-13.27,94.13,94.13,0.0,177.43,-16.28,-16.6,-20.54,-13.59,,-9.17,-9.35,-11.57,-7.66,-14.44,-14.17,-6.02,0.28,78.64,,1.39,1.23,9.8,0,0.0,0,0,,63.87,0.13,-1.41,0.04,0,0.07,0.04,-2.14
ANKITMETAL,Ankit Metal and Power Ltd.,,-5.32,-5.32,-1.69,-46.68,-46.68,0.0,38.85,1.44,-2.18,-5.32,-5.32,,3.7,-5.61,-13.68,-13.68,0,8.05,-5.88,-1.03,42.98,,0.44,0.12,1.03,0,0.0,0,0,,683.02,1.25,33.61,0.01,0,-0.01,0.01,-14.37
ANTGRAPHIC,Antarctica Ltd.,,0,0,0.01,0.82,1.08,0.0,0.09,0.01,0,0,0,,12.45,3.61,3.19,2.79,0.29,0.24,0.18,0.22,6.56,,19.92,10.91,0.31,0,0.0,0,0,,38.39,29.13,233.94,27.17,0,2.82,27.18,0.0
ANUP,The Anup Engineering Ltd.,,42.13,41.97,50.87,316.6,316.6,7.0,240.66,71.26,62.51,61.77,42.13,,29.6,25.97,25.66,17.5,13.3,18.86,10.18,0,58.15,,2.57,1.31,2.31,16.61,13.76,83.39,86.24,,315.64,1.29,4.34,1.29,83.38,0.98,1.29,0.14
APEX,Apex Frozen Foods Ltd.,,19.41,19.41,24.08,126.68,126.68,2.0,264.67,33.92,29.25,25.84,19.41,,12.81,11.05,9.76,7.33,15.31,21.75,9.67,0.36,132.01,,1.62,0.73,4.49,24.84,20.02,75.16,79.98,,663.09,0.8,6.26,0.64,75.15,1.33,0.64,0.12
APLAPOLLO,APL Apollo Tubes Ltd.,,46.96,46.55,73.95,512.76,512.76,0.0,"2,384.72",106.49,78.78,45.75,46.24,,4.46,3.3,1.91,1.93,9.01,11.86,4.46,0.38,230.37,,1.15,0.51,10.05,0,0.0,0,0,,"3,549.90",0.6,13.4,0.52,0,2.43,0.52,0.04
APLLTD,Alembic Pharmaceuticals Ltd.,,51.42,51.42,58.62,177.51,177.51,10.0,219.23,70.96,63.77,61.9,51.43,,32.36,29.08,28.23,23.45,28.97,27.16,16.48,0.5,70.29,,1.48,0.74,3.85,30.14,26.44,69.86,73.56,,"11,709.20",2.83,8.75,2.43,69.85,3.01,2.43,0.1
APOLLOTYRE,Apollo Tyres Ltd.,,8.89,8.89,19.74,134.47,134.47,3.0,193.38,24.96,14.11,10.16,8.89,,12.9,7.29,5.25,4.59,6.61,6.51,3.08,0.56,67.11,,0.71,0.27,6.12,70.29,31.65,29.71,68.35,,"8,629.03",0.78,6.04,0.41,29.7,0.59,0.41,0.11
APOLSINHOT,Apollo Sindoori Hotels Ltd.,,39.58,39.58,48.55,162.7,162.7,2.0,713.76,63.62,54.64,51.95,39.58,,8.91,7.65,7.27,5.54,24.32,23.63,11.12,0.02,200.69,,2.17,2.09,76.16,7.58,6.17,92.42,93.83,,82.99,0.45,5.02,0.55,92.41,2.41,0.55,0.1
ARCHIDPLY,Archidply Industries Ltd.,,1.71,1.71,3.94,40.24,40.24,0.0,121.15,8.2,5.97,2.94,1.71,,6.76,4.92,2.42,1.41,4.25,13.08,1.95,0.63,138.25,,1.47,0.93,5.32,0,0.0,0,0,,91.26,0.34,5.05,0.13,0,0.4,0.13,0.11
ARCHIES,Archies Ltd.,,-2.12,-2.12,3.33,28.71,32.59,0.0,41.24,5.26,-0.19,-3.03,-2.12,,12.76,-0.45,-7.33,-5.15,-7.39,-0.39,-3.14,0.29,60.99,,1.25,0.38,2.39,0,0.0,0,0,,54.63,0.39,3.07,0.2,0,0.28,0.2,-0.26
ARCOTECH,Arcotech Ltd.,,-5.59,-5.59,-4.54,7.26,7.26,0.0,7.19,-6.23,-7.28,-8.53,-5.59,,-86.65,-101.32,-118.66,-77.77,-77.05,-67.71,-9.36,4.91,12.04,,0.74,0.63,1.32,0,0.0,0,0,,384.78,5.1,-5.88,0.12,0,0.12,0.12,-6.35
ARENTERP,Rajdarshan Industries Ltd.,,-24.36,-24.36,-18.63,49.5,49.5,0.0,1.93,-25.11,-25.2,-25.2,-18.72,,"-1,304.09","-1,308.57","-1,308.62",-972.09,-37.82,-50.84,-37.61,0,3.86,,126.55,126.55,0,0,0.0,0,0,,0.56,0.93,-0.07,5.19,0,0.2,5.19,-1.87
ARIES,Aries Agro Ltd.,,12,12,16.13,129.32,129.32,0.5,227.73,41.5,37.38,17.75,12,,18.22,16.41,7.79,5.27,9.28,25.08,3.43,0.86,65.16,,1.44,0.91,2.15,19.16,14.26,80.84,85.74,,193,0.65,3.58,0.18,80.83,0.31,0.18,0.3
ARIHANTSUP,Arihant Superstructures Ltd.,,-0.34,-0.34,-0.15,27.34,27.34,0.0,14.27,1.71,1.51,-0.35,-0.34,,11.96,10.61,-2.44,-2.41,-1.25,3.34,-0.49,0.85,20.62,,2.59,0.89,0.35,0,0.0,0,0,,179.67,3.06,25.57,1.5,0,0.78,1.5,-0.02
ARROWGREEN,Arrow Greentech Ltd.,,1.79,1.79,3.8,40.94,40.94,0.5,22.33,4.46,2.17,1.62,1.5,,19.98,9.7,7.24,6.73,3.67,4.93,3.01,0.07,44.81,,2.57,2.2,10.31,27.7,10.96,72.3,89.04,,39.51,1.26,6.29,1.5,72.29,0.82,1.5,0.04
ARVIND,Arvind Ltd.,,6.62,6.62,15.92,110.28,110.28,0.0,259.12,29.89,20.6,9.67,6.62,,11.53,7.94,3.73,2.55,6,13.2,2.51,0.76,98.39,,0.98,0.6,6.46,30.19,12.56,69.81,87.44,,"2,663.99",0.4,3.44,0.08,69.8,0.18,0.08,0.34
ARVSMART,Arvind SmartSpaces Ltd.,,5.46,5.46,5.68,90.69,90.69,0.0,42.57,12.68,12.45,7.33,5.45,,29.79,29.25,17.21,12.8,6,12.83,3.46,0.32,27.06,,1.3,0.22,0.65,33.03,31.68,66.97,68.32,,340.01,2.25,7.54,1.59,66.96,0.74,1.59,0.08
ASAHIINDIA,Asahi India Glass Ltd.,,6.58,6.58,12.01,55.25,55.25,1.0,106.92,19.07,13.64,7.58,6.58,,17.83,12.75,7.08,6.15,11.9,13.21,4.13,1.02,67.2,,0.94,0.42,3.72,30.4,16.65,69.6,83.35,,"5,136.40",1.98,11.08,1.46,69.59,2.82,1.46,0.04
ASAL,Automotive Stampings and Assemblies Ltd.,,-10.72,-10.72,-3.59,-37.09,-37.09,0.0,228.44,-5.74,-12.87,-10.65,-10.72,,-2.51,-5.63,-4.66,-4.69,0,75.37,-9.18,-2.43,195.56,,0.36,0.21,11.55,0,0.0,0,0,,163.6,0.45,-17.98,0.06,0,-0.36,0.06,-0.81
ASHIANA,Ashiana Housing Ltd.,,-2.72,-2.72,-1.87,73.69,73.69,0.3,25.22,0.34,-0.55,-3.56,-2.75,,1.34,-2.16,-14.12,-10.92,-3.73,-0.63,-2.52,0.14,23.14,,3.88,1.32,0.42,-9.08,-13.37,109.08,113.37,,542.92,2.1,156.46,1.96,109.08,0.67,1.96,-0.06
ASHIMASYN,Ashima Ltd.,,-0.18,-0.18,0.37,15.75,15.75,0.0,53.68,0.75,-0.26,-0.64,-0.64,,1.4,-0.47,-1.18,-1.18,-4.04,-0.55,-1.13,0.19,0.92,,2.75,1.64,2.06,0,0.0,0,0,,21.39,0.07,5.34,0.06,0,0.2,0.06,-0.2
ASHOKA,Ashoka Buildcon Ltd.,,13.79,13.79,17.75,92.58,92.58,0.0,140.26,26.02,22.07,19.02,13.79,,18.55,15.73,13.56,9.83,14.89,19.58,7.28,0.14,74.12,,1.11,1.04,25.67,0,0.0,0,0,,"1,222.15",0.31,1.67,0.29,0,0.45,0.29,0.33
ASIANHOTNR,Asian Hotels (North) Ltd.,,-32.45,-32.45,-23.23,330.6,330.6,0.0,129.74,35.7,26.48,-38.02,-32.45,,27.51,20.4,-29.3,-25.01,-9.81,3.47,-3.51,1.43,14.07,,0.21,0.17,24.44,0,0.0,0,0,,"1,048.37",4.15,15.1,0.52,0,0.2,0.52,-0.48
ASIANPAINT,Asian Paints Ltd.,,27.67,27.67,34.86,98.55,98.55,12.0,179.25,43.94,36.75,35.58,27.67,,24.51,20.49,19.85,15.43,28.07,33.91,19.53,0,126.54,,1.82,0.94,6.08,65.59,52.06,34.41,47.94,,"159,512.30",9.28,37.85,9.3,34.4,16.91,9.3,0.02
ASPINWALL,Aspinwall and Company Ltd.,,0.69,0.69,4.91,168.61,168.61,2.5,323.9,11.25,7.03,0.38,0.69,,3.47,2.17,0.11,0.21,0.4,3.96,0.22,0.34,1.04,,1.45,0.74,0.97,796.29,111.97,-696.29,-11.97,,107.9,0.43,12.26,0.27,-696.29,0.51,0.27,0.01
ASTRAL,Astral Ltd.,,13.33,13.33,19.25,88.11,88.19,1.0,135.28,25.21,19.25,16.85,13.3,,18.63,14.23,12.45,9.82,15.09,19.9,10.34,0.07,105.2,,1.42,0.54,4.84,11.95,8.25,88.05,91.75,,"13,977.30",6.84,36.72,6.83,88.04,10.49,6.83,0.01
ASTRAZEN,AstraZeneca Pharma Ltd.,,28.9,28.9,36.32,145.78,145.78,1.0,332.72,53.48,46.04,45.59,28.88,,16.07,13.83,13.7,8.68,19.81,30.36,10.22,0,117.76,,1.66,1.15,5.04,3.46,2.75,96.54,97.25,,"5,726.36",6.88,42.83,7.19,96.53,16.41,7.19,0.01
ASTRON,Astron Paper & Board Mill Ltd.,,2.91,2.91,4.07,35.19,35.19,0.0,77.21,7.68,6.52,4.39,2.91,,9.94,8.44,5.68,3.76,8.25,17.07,4.35,0.36,115.71,,1.21,0.85,7.56,0,0.0,0,0,,177.08,0.49,4.96,0.34,0,0.75,0.34,0.11
ATFL,Agro Tech Foods Ltd.,,14.38,14.38,21.65,167.23,167.23,3.0,342.68,25.24,17.51,16.79,13.92,,7.36,5.11,4.89,4.06,8.32,9.77,6.63,0.01,163.4,,2.74,1.7,10.78,21.01,13.51,78.99,86.49,,934.21,1.12,15.19,1.12,78.98,2.29,1.12,0.04
ATGL,Adani Total Gas Ltd.,,3.97,3.97,4.43,13.46,13.46,0.25,17.04,5.81,5.35,4.98,3.97,,34.09,31.39,29.2,23.27,29.46,31.05,17.54,0.24,75.41,,0.94,0.87,45.39,12.6,11.29,87.4,88.71,,"9,767.61",5.21,15.28,5.07,87.39,6.42,5.07,0.05
ATLASCYCLE,Atlas Cycle Industries Ltd.,,4.8,4.8,11.56,84.37,84.37,0.0,239.71,10.68,3.92,-10.56,4.8,,4.45,1.63,-4.4,2,5.68,4.33,1.64,0.16,82.42,,0.76,0.52,4.97,0,0.0,0,0,,25.02,0.16,3.6,0.13,0,0.37,0.13,0.15
ATNINTER,ATN International Ltd.,,-0.13,-0.13,-0.13,-0.48,-0.48,0.0,0.05,-0.07,-0.07,-0.07,-0.13,,-126.7,-127.81,-127.81,-247.23,0,14.04,-4.75,-5,1.92,,0.27,0.27,0,0,0.0,0,0,,10.27,49.06,-38.72,4.15,0,-0.45,4.17,-0.6
