Company Name:  One 97 Communications Paytm Ltd.
31-Dec-2023
SAIF Partners India Iv Limited,4.60
BH International Holdings,2.46
Canada Pension Plan Investment Board,1.76
Mirae Mutual Funds,1.47
Axis Quant Fund - Regular Plan (G),1.19
Axis Quant Fund - Direct Plan (G),1.19
Axis Quant Fund - Direct Plan (IDCW),1.19
Axis Quant Fund - Regular Plan (IDCW),1.19
Bnp Paribas Arbitrage,1.02
SBI Nifty Midcap 150 Index Fund - Direct Plan (G),0.81
SBI Nifty Midcap 150 Index Fund - Regular Plan (G),0.81
SBI Nifty Midcap 150 Index Fund - Regular Plan (IDCW),0.81
SBI Nifty Midcap 150 Index Fund - Direct Plan (IDCW),0.81
HUF,0.19
LLP,0.03
Trusts,0.03
Clearing Members,0.00

31-Mar-2023
Name,% Holding
Antfin (Netherlands) Holding B.V.,24.94
SVF India Holdings (Cayman) Limited,12.88
SAIF III Mauritius Company Limited,10.85
Vijay Shekhar Sharma,9.13
Axis Trustee Services Limited,4.89
SAIF Partners India IV Limited,4.60
BH International Holdings,2.47
Mirae Asset Mutual Fund,1.80
Canada Pension Plan Investment Board,1.75
ICICI Prudential Nifty Financial Services Ex-Bank ETF - Regular Plan - (G),1.28
Aditya Birla Sun Life Digital India Fund (G),1.11
Aditya Birla Sun Life Digital India Fund - Direct Plan (D),1.11
Aditya Birla Sun Life Digital India Fund (D),1.11
Aditya Birla Sun Life Digital India Fund - Direct Plan (G),1.11
Nippon India Nifty Midcap 150 Index Fund - Regular Plan (G),0.69
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Direct Plan - (D),0.69
Nippon India Nifty Midcap 150 Index Fund - Direct Plan (G),0.69
Nippon India Nifty Midcap 150 Index Fund - Regular Plan (D),0.69
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Regular Plan - (G),0.69
ICICI Prudential Nifty Midcap 150 Index Fund - Direct Plan (IDCW),0.69
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Direct Plan - (G),0.69
Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Regular Plan - (D),0.69
ICICI Prudential Nifty Midcap 150 Index Fund - Regular Plan (IDCW),0.69
ICICI Prudential Nifty Midcap 150 ETF,0.69
ICICI Prudential Nifty Midcap 150 Index Fund - Direct Plan (G),0.69
ICICI Prudential Nifty Midcap 150 Index Fund - Regular Plan (G),0.69
Nippon India Nifty Midcap 150 Index Fund - Direct Plan (D),0.69
Aditya Birla Sun Life Banking And Financial Services Fund - Direct Plan (D),0.46
Aditya Birla Sun Life Banking And Financial Services Fund - Regular Plan (G),0.46
Aditya Birla Sun Life Banking And Financial Services Fund - Direct Plan (G),0.46
Aditya Birla Sun Life Banking And Financial Services Fund - Regular Plan (D),0.46
Aditya Birla Sun Life Special Opportunities Fund - Direct Plan (D),0.43
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan (G),0.43
Aditya Birla Sun Life Special Opportunities Fund - Direct Plan (G),0.43
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan (D),0.43
Aditya Birla Sun Life Equity Advantage Fund - Direct Plan (G),0.39
Aditya Birla Sun Life Equity Advantage Fund (G),0.39
Aditya Birla Sun Life ESG Fund - Direct Plan - (D),0.39
Aditya Birla Sun Life ESG Fund - Regular Plan - (G),0.39
Aditya Birla Sun Life ESG Fund - Direct Plan - (G),0.39
Aditya Birla Sun Life ESG Fund - Regular Plan - (D),0.39
Aditya Birla Sun Life Equity Advantage Fund - Direct Plan (D),0.39
Aditya Birla Sun Life Equity Advantage Fund (D),0.39
Aditya Birla Sun Life Equity Hybrid 95 Fund (G),0.36
Aditya Birla Sun Life Equity Hybrid 95 Fund - Direct Plan (G),0.36
Aditya Birla Sun Life Equity Hybrid 95 Fund (D),0.36
Aditya Birla Sun Life Equity Hybrid 95 Fund - Direct Plan (D),0.36
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan (D),0.31
Aditya Birla Sun Life Flexi Cap Fund (G),0.31
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan (G),0.31
Aditya Birla Sun Life Flexi Cap Fund (D),0.31
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan (G),0.23
Aditya Birla Sun Life Frontline Equity Fund (D),0.23
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan (D),0.23
Aditya Birla Sun Life Frontline Equity Fund (G),0.23
HUF,0.19
LLP,0.03
Trusts,0.03
Clearing Members,0.02

31-Dec-2022
Name,% Holding
Antfin (Netherlands) Holding B.V.,24.86
SVF India Holdings (Cayman) Limited,12.92
SAIF III Mauritius Company Limited,10.59
Vijay Shekhar Sharma,8.91
Alibaba.Com Singapore E-Commerce Private Limited,6.26
Axis Trustee Services Limited,4.77
SAIF Partners India IV Limited,4.49
BH International Holdings,2.41
Canada Pension Plan Investment Board,1.71
Aditya Birla Sun Life Digital India Fund - Direct Plan (G),1.25
Aditya Birla Sun Life Digital India Fund - Direct Plan (D),1.25
Aditya Birla Sun Life Digital India Fund (D),1.25
Aditya Birla Sun Life Digital India Fund (G),1.25
Mirae Asset Large Cap Fund,1.06
ICICI Prudential Nifty Financial Services Ex-Bank ETF - Regular Plan - (G),0.49
Aditya Birla Sun Life Banking And Financial Services Fund - Regular Plan (G),0.36
Aditya Birla Sun Life Banking And Financial Services Fund - Direct Plan (D),0.36
Aditya Birla Sun Life Banking And Financial Services Fund - Direct Plan (G),0.36
Aditya Birla Sun Life Banking And Financial Services Fund - Regular Plan (D),0.36
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan (G),0.32
Aditya Birla Sun Life Special Opportunities Fund - Direct Plan (D),0.32
Aditya Birla Sun Life Special Opportunities Fund - Direct Plan (G),0.32
Aditya Birla Sun Life Special Opportunities Fund - Regular Plan (D),0.32
Aditya Birla Sun Life Equity Advantage Fund - Direct Plan (D),0.30
Aditya Birla Sun Life Equity Advantage Fund - Direct Plan (G),0.30
Aditya Birla Sun Life Equity Advantage Fund (G),0.30
Aditya Birla Sun Life Equity Advantage Fund (D),0.30
Aditya Birla Sun Life ESG Fund - Regular Plan - (G),0.29
Aditya Birla Sun Life ESG Fund - Direct Plan - (D),0.29
Aditya Birla Sun Life ESG Fund - Direct Plan - (G),0.29
Aditya Birla Sun Life ESG Fund - Regular Plan - (D),0.29
Aditya Birla Sun Life Equity Hybrid 95 Fund (G),0.28
Aditya Birla Sun Life Equity Hybrid 95 Fund - Direct Plan (D),0.28
Aditya Birla Sun Life Equity Hybrid 95 Fund - Direct Plan (G),0.28
Aditya Birla Sun Life Equity Hybrid 95 Fund (D),0.28
Aditya Birla Sun Life Flexi Cap Fund (G),0.24
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan (G),0.24
Aditya Birla Sun Life Flexi Cap Fund - Direct Plan (D),0.24
Aditya Birla Sun Life Flexi Cap Fund (D),0.24
HUF,0.21
Kotak Nifty Next 50 Index Fund - Direct Plan (G),0.18
Axis Nifty Next 50 Index Fund - Regular Plan - (G),0.18
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan (D),0.18
Kotak Nifty Next 50 Index Fund - Direct Plan (D),0.18
Axis Nifty Next 50 Index Fund - Regular Plan - (IDCW),0.18
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan (G),0.18
Axis Nifty Next 50 Index Fund - Direct Plan - (G),0.18
Aditya Birla Sun Life Frontline Equity Fund (D),0.18
Nippon India ETF Nifty Next 50 Junior BeES,0.18
DSP Nifty Next 50 Index Fund - Regular Plan (G),0.18
ICICI Prudential Nifty Next 50 Index Fund - Direct Plan (D),0.18
DSP Nifty Next 50 Index Fund - Direct Plan (D),0.18
ICICI Prudential Nifty Next 50 Index Fund - Direct Plan (G),0.18
DSP Nifty Next 50 Index Fund - Direct Plan (G),0.18
ICICI Prudential Nifty Next 50 Index Fund (G),0.18
DSP Nifty Next 50 Index Fund - Regular Plan (D),0.18
ICICI Prudential Nifty Next 50 Index Fund (D),0.18
Aditya Birla Sun Life Nifty Next 50 ETF,0.18
ICICI Prudential NIFTY NEXT 50 ETF,0.18
Aditya Birla Sun Life Nifty Next 50 Index Fund - Direct Plan - (IDCW),0.18
Aditya Birla Sun Life Nifty Next 50 Index Fund - Direct Plan - (G),0.18
Aditya Birla Sun Life Nifty Next 50 Index Fund - Regular Plan - (IDCW),0.18
Aditya Birla Sun Life Nifty Next 50 Index Fund - Regular Plan - (G),0.18
SBI Nifty Next 50 ETF,0.18
Kotak Nifty Next 50 Index Fund - Regular Plan (G),0.18
Kotak Nifty Next 50 Index Fund - Regular Plan (D),0.18
Axis Nifty Next 50 Index Fund - Direct Plan - (IDCW),0.18
Aditya Birla Sun Life Frontline Equity Fund (G),0.18
Trusts,0.10
Clearing Members,0.05
Nippon India ETF Nifty 100,0.05
ICICI Prudential Nifty 100 ETF,0.05
AXIS NIFTY 100 INDEX FUND - Regular Plan (G),0.05
AXIS NIFTY 100 INDEX FUND - Direct Plan (D),0.05
AXIS NIFTY 100 INDEX FUND - Direct Plan (G),0.05
AXIS NIFTY 100 INDEX FUND - Regular Plan (D),0.05
LLP,0.03

