Company_Name,Revenue,Net Profit,EPS,BVPS,ROE,Debt to Equity,Symbol,URL
Allied Digital Services Limited,660.0,53.0,1.27,104.18,1.29,0.07,ADSL,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/allieddigitalservices/ADS01
Advani Hotels & Resorts (India) Limited,98.0,28.0,6.19,13.57,45.6,0.01,ADVANIHOTR,https://www.moneycontrol.com/india/stockpricequote/hotels/advanihotelsresortsindia/AHR
Agarwal Industrial Corporation Limited,2015.0,92.0,63.78,269.9,22.85,0.34,AGARIND,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/agarwalindustrialcorporation/AIC03
AGI Greenpac Limited,2281.0,248.0,40.44,248.31,16.28,0.46,AGI,https://www.moneycontrol.com/india/stockpricequote/containerspackaging/agigreenpac/HSI02
Agri-Tech (India) Limited,0.0,0.0,-0.64,154.06,-0.42,0.09,AGRITECH,https://www.moneycontrol.com/india/stockpricequote/fertilisers/agri-techindia/ATI02
Agro Phos India Limited,131.0,5.0,2.47,25.67,9.61,0.52,AGROPHOS,https://www.moneycontrol.com/india/stockpricequote/diversified/agrophosindia/API
AIA Engineering Limited,4908.0,1056.0,111.95,604.35,18.55,0.09,AIAENG,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01
Airan Limited,97.0,10.0,0.81,9.77,9.1,0.04,AIRAN,https://www.moneycontrol.com/india/stockpricequote/software/airan/A09
Ajanta Pharma Limited,3742.0,587.0,45.89,268.14,17.35,0.0,AJANTPHARM,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22
Ajmera Realty & Infra India Limited,431.0,71.0,20.22,251.7,9.25,1.07,AJMERA,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-real-estate/ajmerarealtyinfraindia/ARI03
AksharChem India Limited,334.0,0.0,-1.17,346.52,-0.33,0.09,AKSHARCHEM,https://www.moneycontrol.com/india/stockpricequote/dyespigments/aksharchemindia/AI29
Aksh Optifibre Limited,286.0,-13.0,-0.83,4.64,-17.99,2.11,AKSHOPTFBR,https://www.moneycontrol.com/india/stockpricequote/cables-telephone/akshoptifibre/AO03
Akzo Nobel India Limited,3802.0,335.0,73.58,289.03,25.48,0.0,AKZOINDIA,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI
Albert David Limited,341.0,36.0,63.39,545.93,11.61,0.01,ALBERTDAVD,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/albertdavid/AD01
Alembic Limited,127.0,80.0,7.42,80.93,9.17,0.0,ALEMBICLTD,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembic/A08
Alkali Metals Limited,88.0,2.0,2.77,51.1,5.59,0.36,ALKALI,https://www.moneycontrol.com/india/stockpricequote/chemicals/alkalimetals/AM11
Alkem Laboratories Limited,11599.0,1006.0,82.31,789.21,10.88,0.15,ALKEM,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05
Allsec Technologies Limited,390.0,48.0,32.06,150.71,21.27,0.0,ALLSEC,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/allsectechnologies/ALL01
Alpa Laboratories Limited,92.0,12.0,5.88,63.96,9.34,0.02,ALPA,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alpalaboratories/AL11
Alphageo (India) Limited,65.0,12.0,20.43,444.02,4.59,0.0,ALPHAGEO,https://www.moneycontrol.com/india/stockpricequote/oil-drillingexploration/alphageoindia/AI10
Alps Industries Limited,17.0,-59.0,-15.3,-203.47,0.0,-0.73,ALPSINDUS,https://www.moneycontrol.com/india/stockpricequote/textiles-general/alpsindustries/AI12
Ambica Agarbathies & Aroma industries Limited,117.0,2.0,1.47,61.09,2.4,0.6,AMBICAAGAR,https://www.moneycontrol.com/india/stockpricequote/trading/ambicaagar/AA9
Ambika Cotton Mills Limited,847.0,111.0,195.45,1426.4,13.7,0.0,AMBIKCO,https://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cotton-blended/ambikacottonmills/ACM04
AMD Industries Limited,350.0,19.0,10.02,82.33,12.17,0.65,AMDIND,https://www.moneycontrol.com/india/stockpricequote/packaging/amdindustries/AMD02
Amj Land Holdings Limited,35.0,6.0,1.66,35.65,4.67,0.03,AMJLAND,https://www.moneycontrol.com/india/stockpricequote/paper/amjland/PPP
Amrutanjan Health Care Limited,379.0,39.0,13.65,99.47,13.69,0.0,AMRUTANJAN,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/amrutanjanhealthcare/AHC01
ANaNt Raj Limited,956.0,144.0,4.73,88.19,5.34,0.33,ANANTRAJ,https://www.moneycontrol.com/india/stockpricequote/construction-real-estate/anantraj/ARI
ANDHRA PAPER LIMITED,2097.0,522.0,131.37,397.83,33.02,0.03,ANDHRAPAP,https://www.moneycontrol.com/india/stockpricequote/paper/andhrapaperlimited/APP
The Andhra Sugars Limited,2367.0,183.0,13.72,120.83,12.05,0.02,ANDHRSUGAR,https://www.moneycontrol.com/india/stockpricequote/commodity-chemicals/theandhrasugar/AS18
Anik Industries Limited,118.0,4.0,1.83,144.87,1.32,0.08,ANIKINDS,https://www.moneycontrol.com/india/stockpricequote/edible-oilssolvent-extraction/anikindustries/AI57
Ankit Metal & Power Limited,853.0,-98.0,-7,-62.55,0.0,-1.25,ANKITMETAL,https://www.moneycontrol.com/india/stockpricequote/steel-sponge-iron/ankitmetalpower/AMa
Antarctica Limited,0.0,0.0,0,1.08,-0.02,0.18,ANTGRAPHIC,https://www.moneycontrol.com/india/stockpricequote/printingstationery/antarctica/A16
The Anup Engineering Limited,411.0,51.0,52.01,442.27,11.75,0.08,ANUP,https://www.moneycontrol.com/india/stockpricequote/engineering-industrial-equipments/theanupengineering/ANUP54246
Apex Frozen Foods Limited,1070.0,35.0,11.48,156.79,7.32,0.18,APEX,https://www.moneycontrol.com/india/stockpricequote/food-processing/apexfrozenfoods/AFF
APL Apollo Tubes Limited,16165.0,641.0,23.15,108.37,21.35,0.29,APLAPOLLO,https://www.moneycontrol.com/india/stockpricequote/steel-tubespipes/aplapollotubes/BT09
Alembic Pharmaceuticals Limited,5652.0,372.0,17.4,222.36,7.82,0.15,APLLTD,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35
Apollo Tyres Limited,24568.0,1104.0,17.39,202.77,8.57,0.43,APOLLOTYRE,https://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14
Apollo Sindoori Hotels Limited,367.0,14.0,65.05,461.56,14.09,0.87,APOLSINHOT,https://www.moneycontrol.com/india/stockpricequote/hotel-resortrestaurants/apollosindoorihotels/ASH
Archidply Industries Limited,421.0,12.0,6.17,52.26,11.8,0.8,ARCHIDPLY,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/archidplyindustries/AI
Archies Limited,86.0,2.0,0.71,28.26,2.52,0.21,ARCHIES,https://www.moneycontrol.com/india/stockpricequote/printingstationery/archies/A15
Arcotech Limited,0.0,-82.0,-7.82,-8.81,0.0,-5.27,ARCOTECH,https://www.moneycontrol.com/india/stockpricequote/metals-non-ferrous/arcotech/A17
Rajdarshan Industries Limited,1.0,0.0,0.95,66.85,1.41,0.0,ARENTERP,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/rajdarshanindustries/RI01
Aries Agro Limited,472.0,15.0,13.17,190.05,7.05,0.39,ARIES,https://www.moneycontrol.com/india/stockpricequote/fertilisers/ariesagro/AA02
Arihant Superstructures Limited,389.0,42.0,10.37,59.67,14.96,1.58,ARIHANTSUP,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-real-estate/arihantsuperstructures/SMC07
Arrow Greentech Limited,108.0,12.0,8.52,66.45,12.5,0.02,ARROWGREEN,https://www.moneycontrol.com/india/stockpricequote/plastics/arrowgreentech/ACP
Arvind Limited,8382.0,415.0,15.51,130.18,12.09,0.42,ARVIND,https://www.moneycontrol.com/india/stockpricequote/textiles-denim/arvind/A18
Arvind SmartSpaces Limited,255.0,27.0,5.83,109.33,5.49,0.31,ARVSMART,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/arvindsmartspaces/AI72
Asahi India Glass Limited,4018.0,345.0,15.01,84.46,17.58,0.65,ASAHIINDIA,https://www.moneycontrol.com/india/stockpricequote/glassglass-products/asahiindiaglass/AIG01
Automotive Stampings and Assemblies Limited,828.0,8.0,5.25,-17.23,-30.44,-1.68,ASAL,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/automotivestampingsassemblies/ASA01
Ashiana Housing Limited,407.0,27.0,2.81,74.22,3.66,0.24,ASHIANA,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-housing/ashianahousing/AH07
Ashima Limited,206.0,-7.0,-0.35,11.49,-3.01,0.11,ASHIMASYN,https://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cotton-blended/ashima/A10
Ashoka Buildcon Limited,8100.0,371.0,13.23,70.35,21.16,1.09,ASHOKA,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/ashokabuildcon/AB
Asian Hotels (North) Limited,255.0,-84.0,-43.6,-124.24,0.0,-4.48,ASIANHOTNR,https://www.moneycontrol.com/india/stockpricequote/hotels/asianhotelsnorth/AH
Asian Paints Limited,34488.0,4101.0,42.83,171.45,25.67,0.06,ASIANPAINT,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31
Aspinwall and Company Limited,294.0,28.0,36.51,226.04,16.15,0.08,ASPINWALL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aspinwallcompany/AC27
Astral Limited,5158.0,461.0,17,109.95,16.84,0.03,ASTRAL,https://www.moneycontrol.com/india/stockpricequote/plastics/astrallimited/APT02
AstraZeneca Pharma India Limited,1002.0,99.0,39.7,235.48,16.86,0.0,ASTRAZEN,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP
Astron Paper & Board Mill Limited,394.0,-23.0,-5.15,34.24,-15.04,0.53,ASTRON,https://www.moneycontrol.com/india/stockpricequote/paper/astronpaperboardmillltd/APB
Agro Tech Foods Limited,849.0,15.0,6.29,199.47,3.1,0.11,ATFL,https://www.moneycontrol.com/india/stockpricequote/edible-oilssolvent-extraction/agrotechfoods/ATF
Adani Total Gas Limited,4378.0,529.0,4.97,26.74,18.58,0.47,ATGL,https://www.moneycontrol.com/india/stockpricequote/gas-distribution/adanitotalgas/ADG01
Atlas Cycles (Haryana) Limited,1.0,-23.0,-35.75,-49.66,0.0,-0.28,ATLASCYCLE,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/atlascycleindustries/ACI08
ATN International Limited,0.0,0.0,-0.13,-1.85,0.0,-0.59,ATNINTER,https://www.moneycontrol.com/india/stockpricequote/finance-investment/atninternational/AI50
Atul Limited,5427.0,502.0,174.15,1598.18,11.0,0.01,ATUL,https://www.moneycontrol.com/india/stockpricequote/chemicals/atul/A06
AU Small FiNaNce Bank Limited,8205.0,1428.0,21.86,164.64,13.0,,AUBANK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/ausmallfinancebank/ASF02
Aurionpro Solutions Limited,659.0,102.0,42.69,225.9,19.55,0.15,AURIONPRO,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/aurionprosolutions/PS12
Aurum PropTech Limited,126.0,-39.0,-7.51,59.66,-12.98,0.03,AURUM,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/aurumproptech/M19
Ausom Enterprise Limited,177.0,2.0,0.88,85.44,1.03,0.47,AUSOMENT,https://www.moneycontrol.com/india/stockpricequote/finance-investments/ausomenterprise/CE06
Automotive Axles Limited,2323.0,162.0,107.22,502.46,21.33,0.01,AUTOAXLES,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/automotiveaxles/AA06
Avadh Sugar & Energy Limited,2798.0,100.0,50.07,445.17,11.24,1.2,AVADHSUGAR,https://www.moneycontrol.com/india/stockpricequote/sugar/avadhsugarenergy/ASE03
Avanti Feeds Limited,5086.0,312.0,20.45,174.45,13.29,0.0,AVANTIFEED,https://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21
AVT Natural Products Limited,582.0,77.0,5.08,28.26,17.98,0.08,AVTNPL,https://www.moneycontrol.com/india/stockpricequote/edible-oilssolvent-extraction/avtnaturalproducts/AVT02
Axis Bank Limited,87448.0,10855.0,35.2,421.8,8.33,,AXISBANK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/axisbank/AB16
AXISCADES Technologies Limited,821.0,-4.0,-1.37,89.95,-1.54,0.93,AXISCADES,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/axiscadestechnologies/AXI
AYM Syntex Limited,1457.0,7.0,1.43,83.46,1.7,0.64,AYMSYNTEX,https://www.moneycontrol.com/india/stockpricequote/textiles-processing/aymsyntex/WS01
B.A.G Films and Media Limited,111.0,-1.0,-0.09,9.88,-1.18,0.0,BAGFILMS,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/bagfilmsmedia/BAG
Bajaj Consumer Care Limited,960.0,139.0,9.48,55.36,17.62,0.0,BAJAJCON,https://www.moneycontrol.com/india/stockpricequote/personal-care/bajajconsumercare/BC02
Bajaj Electricals Limited,5429.0,216.0,18.8,165.74,11.33,0.0,BAJAJELEC,https://www.moneycontrol.com/india/stockpricequote/domestic-appliances/bajajelectricals/BE
Bajaj Hindusthan Sugar Limited,6338.0,-134.0,-1.08,34.9,-3.1,0.99,BAJAJHIND,https://www.moneycontrol.com/india/stockpricequote/sugar/bajajhindusthansugar/BH06
Bajaj Holdings & Investment Limited,464.0,279.0,435.8,4633.2,10.97,0.0,BAJAJHLDNG,https://www.moneycontrol.com/india/stockpricequote/finance-investments/bajajholdingsinvestment/BHI
Balaji Amines Limited,2355.0,405.0,100.47,524.11,20.94,0.04,BALAMINES,https://www.moneycontrol.com/india/stockpricequote/chemicals/balajiamines/BA05
BALAXI PHARMACEUTICALS LIMITED,336.0,45.0,45.81,179.62,25.13,0.06,BALAXI,https://www.moneycontrol.com/india/stockpricequote/trading/balaxipharmaceuticals/TAR
Balkrishna Paper Mills Limited,109.0,-51.0,-48.3,-140.1,0.0,-0.63,BALKRISHNA,https://www.moneycontrol.com/india/stockpricequote/paper/balkrishnapapermills/NPM01
Balmer Lawrie & Company Limited,2321.0,106.0,10.05,100.11,10.22,0.05,BALMLAWRIE,https://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawrieco/BLC
Bal Pharma Limited,304.0,2.0,1.67,40.6,4.03,2.05,BALPHARMA,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/balpharma/BP02
Balrampur Chini Mills Limited,4665.0,272.0,13.94,143.52,9.81,0.65,BALRAMCHIN,https://www.moneycontrol.com/india/stockpricequote/sugar/balrampurchinimills/BCM
Banaras Beads Limited,26.0,2.0,3.83,79.89,4.81,0.01,BANARBEADS,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/banarasbeads/BB03
Bannari Amman Sugars Limited,2525.0,143.0,114.35,1237.58,9.23,0.37,BANARISUG,https://www.moneycontrol.com/india/stockpricequote/sugar/bannariammansugars/BS07
Banco Products (I) Limited,2331.0,235.0,32.94,139.96,23.53,0.29,BANCOINDIA,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/bancoproductsindia/BPI
Bandhan Bank Limited,15904.0,2195.0,13.62,121.58,11.2,,BANDHANBNK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/bandhanbank/BB09
Bank of India,47931.0,3882.0,9.35,130.3,7.17,,BANKINDIA,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/bankindia/BOI
Banswara Syntex Limited,1498.0,110.0,32.93,148.71,22.14,0.73,BANSWRAS,https://www.moneycontrol.com/india/stockpricequote/textiles-spinning-synthetic-blended/banswarasyntex/BS01
BASF India Limited,13644.0,402.0,93.1,623.97,14.91,0.0,BASF,https://www.moneycontrol.com/india/stockpricequote/chemicals/basfindia/BAS
Bannari Amman Spinning Mills Limited,1398.0,-22.0,-3.49,72.07,-7.03,1.47,BASML,https://www.moneycontrol.com/india/stockpricequote/textiles-general/bannariammanspinningmills/BAS01
Bata India Limited,3451.0,323.0,25.13,111.9,22.45,0.0,BATAINDIA,https://www.moneycontrol.com/india/stockpricequote/leather-products/bataindia/BI01
Bharat Bijlee Limited,1418.0,83.0,147.26,2437.72,6.04,0.21,BBL,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/bharatbijlee/BB
Bombay Burmah Trading Corporation Limited,16622.0,286.0,-240.19,832.81,-41.54,1.62,BBTC,https://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/bombayburmahtradingcorporation/BBT
Beardsell Limited,232.0,8.0,2.27,15.69,14.45,0.55,BEARDSELL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/beardsell/B06
Bedmutha Industries Limited,686.0,12.0,4.03,30.85,13.07,2.53,BEDMUTHA,https://www.moneycontrol.com/india/stockpricequote/steel-mediumsmall/bedmuthaindustries/BI05
Bharat Electronics Limited,17734.0,2940.0,4.09,18.99,21.53,0.0,BEL,https://www.moneycontrol.com/india/stockpricequote/aerospacedefence/bharatelectronics/BE03
Bhansali Engineering Polymers Limited,1362.0,135.0,8.24,64.37,12.8,0.0,BEPL,https://www.moneycontrol.com/india/stockpricequote/petrochemicals/bhansaliengineeringpolymers/BEP
Berger Paints (I) Limited,10567.0,873.0,8.86,46.35,19.12,0.17,BERGEPAINT,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02
BGR Energy Systems Limited,806.0,-487.0,-67.21,6.8,-527.87,20.04,BGRENERGY,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/bgrenergysystems/BES
Bhageria Industries Limited,501.0,14.0,3.38,115.62,2.92,0.08,BHAGERIA,https://www.moneycontrol.com/india/stockpricequote/dyespigments/bhageriaindustries/BD02
Bhandari Hosiery Exports Limited,283.0,6.0,0.44,5.95,7.46,1.08,BHANDARI,https://www.moneycontrol.com/india/stockpricequote/textiles-hosieryknitwear/bhandarihosieryexports/BHE02
Bharat Forge Limited,12910.0,541.0,11.35,144.78,7.87,1.02,BHARATFORG,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/bharatforge/BF03
Bharat Gears Limited,766.0,13.0,8.78,78.51,11.18,0.85,BHARATGEAR,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/bharatgears/BG01
Bharat Rasayan Limited,1234.0,130.0,299.89,2149.86,13.94,0.03,BHARATRAS,https://www.moneycontrol.com/india/stockpricequote/pesticidesagro-chemicals/bharatrasayan/BR01
Bharat Wire Ropes Limited,589.0,62.0,9.68,82.5,11.11,0.32,BHARATWIRE,https://www.moneycontrol.com/india/stockpricequote/steel-mediumsmall/bharatwireropes/BWR01
Bharti Airtel Limited,139144.0,11535.0,14.8,210.95,9.19,1.82,BHARTIARTL,https://www.moneycontrol.com/india/stockpricequote/telecommunications-service/bhartiairtel/BA08
Bharat Heavy Electricals Limited,23364.0,421.0,1.37,77.05,1.77,0.2,BHEL,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/bharatheavyelectricals/BHE
Bhartiya International Limited,798.0,14.0,50.98,317.74,16.19,1.28,BIL,https://www.moneycontrol.com/india/stockpricequote/leather-products/bhartiyainternational/BI06
Biofil Chemicals & Pharmaceuticals Limited,30.0,0.0,0.34,10.63,3.23,0.03,BIOFILCHEM,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biofilchemicalspharmaceuticals/BCP
Aditya Birla Money Limited,262.0,33.0,6.01,19.34,31.05,8.02,BIRLAMONEY,https://www.moneycontrol.com/india/stockpricequote/finance-general/adityabirlamoney/ABM01
BLB Limited,218.0,6.0,1.14,17.72,6.45,0.04,BLBLIMITED,https://www.moneycontrol.com/india/stockpricequote/finance-investments/blb/BLB
Bliss GVS Pharma Limited,751.0,76.0,6.83,88.08,8.01,0.11,BLISSGVS,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/blissgvspharma/BGV
B. L. Kashyap and Sons Limited,1109.0,22.0,0.98,19.73,4.97,0.72,BLKASHYAP,https://www.moneycontrol.com/india/stockpricequote/construction-real-estate/blkashyapsons/BLK
Blue Chip India Limited,0.0,0.0,0.12,0.87,14.38,0.0,BLUECHIP,https://www.moneycontrol.com/india/stockpricequote/finance-investments/bluechipindia/BCI02
Blue Coast Hotels Limited,0.0,-7.0,-5.6,-93.26,0.0,0.0,BLUECOAST,https://www.moneycontrol.com/india/stockpricequote/hotels/bluecoasthotels/BCH
Blue Dart Express Limited,5172.0,370.0,156.16,496.45,31.41,0.21,BLUEDART,https://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE
Blue Star Limited,7977.0,400.0,41.6,138.51,30.09,0.43,BLUESTARCO,https://www.moneycontrol.com/india/stockpricequote/consumer-goods-white-goods/bluestar/BS
Bodal Chemicals Limited,1574.0,38.0,3.03,85.79,3.52,0.7,BODALCHEM,https://www.moneycontrol.com/india/stockpricequote/dyespigments/bodalchemicals/BC15
Bombay Dyeing & Mfg Company Limited,2673.0,-516.0,-25.02,-61.64,0.0,-2.92,BOMDYEING,https://www.moneycontrol.com/india/stockpricequote/textilesapparel/thebombaydyeingco/BDM
BOROSIL RENEWABLES LIMITED,688.0,88.0,6.79,67.25,10.08,0.41,BORORENEW,https://www.moneycontrol.com/india/stockpricequote/glassglass-products/borosilrenewablesltd/BGW
Bosch Limited,14929.0,1424.0,483.32,3730.54,12.95,0.0,BOSCHLTD,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/bosch/B05
BPL Limited,52.0,5.0,14.38,48.18,2.42,0.73,BPL,https://www.moneycontrol.com/india/stockpricequote/consumer-goods-electronic/bpl/BPL
Brigade Enterprises Limited,3444.0,218.0,12.64,133.1,9.18,1.43,BRIGADE,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-real-estate/brigadeenterprises/BE08
Britannia Industries Limited,16300.0,2310.0,96.39,147.97,65.69,0.84,BRITANNIA,https://www.moneycontrol.com/india/stockpricequote/food-processing/britanniaindustries/BI
Bharat Road Network Limited,326.0,-196.0,-24.45,47.61,-69.3,4.67,BRNL,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/bharatroadnetwork/BRN
BSL Limited,471.0,16.0,16.43,101.12,16.24,3.32,BSL,https://www.moneycontrol.com/india/stockpricequote/textiles-weaving/bsl/BSL
BIRLASOFT LIMITED,4794.0,331.0,11.96,89.07,13.54,0.0,BSOFT,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/birlasoft/KPI02
Burnpur Cement Limited,146.0,-70.0,-8.22,-41.51,0.0,-1.45,BURNPUR,https://www.moneycontrol.com/india/stockpricequote/cement-major/burnpurcement/BC13
Butterfly Gandhimathi Appliances Limited,1056.0,51.0,28.9,159.31,18.13,0.0,BUTTERFLY,https://www.moneycontrol.com/india/stockpricequote/domestic-appliances/butterflygandhimathiappliances/GA
Camlin Fine Sciences Limited,1681.0,39.0,3.45,48.18,6.92,1.04,CAMLINFINE,https://www.moneycontrol.com/india/stockpricequote/chemicals/camlinfinesciences/CFC03
Canara Bank,85884.0,10808.0,62.04,388.97,15.94,,CANBK,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/canarabank/CB06
Can Fin Homes Limited,2742.0,621.0,46.65,273.89,17.03,7.97,CANFINHOME,https://www.moneycontrol.com/india/stockpricequote/finance-housing/canfinhomes/CFH
Cantabil Retail India Limited,551.0,67.0,41.18,135.58,30.37,0.11,CANTABIL,https://www.moneycontrol.com/india/stockpricequote/retail/cantabilretailindia/CRI01
Capacit'e Infraprojects Limited,1798.0,94.0,14.04,158.11,8.87,0.34,CAPACITE,https://www.moneycontrol.com/india/stockpricequote/construction-real-estate/capaciteinfraprojects/CI19
Capital Trust Limited,86.0,-45.0,-28.14,45.96,-61.23,1.29,CAPTRUST,https://www.moneycontrol.com/india/stockpricequote/finance-leasinghire-purchase/capitaltrust/CT
Carborundum Universal Limited,4654.0,404.0,21.8,155.23,14.67,0.08,CARBORUNIV,https://www.moneycontrol.com/india/stockpricequote/abrasives/carborundumuniversal/CU
CARE Ratings Limited,278.0,85.0,28.17,228.63,12.42,0.0,CARERATING,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/careratings/CAR
Country Club Hospitality & Holidays Limited,64.0,12.0,0.77,19.11,4.04,0.35,CCHHL,https://www.moneycontrol.com/india/stockpricequote/hotels/countryclubhospitalityholidays/CCI06
CEAT Limited,11314.0,174.0,46.03,854.64,5.41,0.61,CEATLTD,https://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07
Celebrity Fashions Limited,364.0,6.0,1.3,4.94,23.03,2.31,CELEBRITY,https://www.moneycontrol.com/india/stockpricequote/textiles-readymade-apparels/celebrityfashions/CFL04
