Company_Name,Revenue,Net Profit,EPS,BVPS,ROE,Debt to Equity,Symbol,URL
Ajooni Biotech Limited,74,1,1.94,4.76,2.69,0.12,AJOONI,https://www.moneycontrol.com/india/stockpricequote/diversified/ajoonibiotechltd/ABL01
Akash Infra-Projects Limited,61,1,0.86,49.58,1.65,0.73,AKASH,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/akashinfraprojects/AI76
Akg Exim Limited,221,2,0.78,16.06,4.85,0.24,AKG,https://www.moneycontrol.com/india/stockpricequote/trading/akgexim/AE20
AKI India Limited,55,1,0.73,11.15,7.2,1.73,AKI,https://www.moneycontrol.com/india/stockpricequote/leather/akiindia/AI80
Akshar Spintex Limited,135,-2,-1.11,16.26,-6.8,0.43,AKSHAR,https://www.moneycontrol.com/india/stockpricequote/textiles-general/aksharspintex/ASL
AksharChem India Limited,334,0,-1.17,346.52,-0.33,0.09,AKSHARCHEM,https://www.moneycontrol.com/india/stockpricequote/dyespigments/aksharchemindia/AI29
Aksh Optifibre Limited,286,-13,-0.83,4.64,-17.99,2.11,AKSHOPTFBR,https://www.moneycontrol.com/india/stockpricequote/cables-telephone/akshoptifibre/AO03
Akzo Nobel India Limited,3802,335,73.58,289.03,25.48,0,AKZOINDIA,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI
Albert David Limited,341,36,63.39,545.93,11.61,0.01,ALBERTDAVD,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/albertdavid/AD01
Alembic Limited,127,80,7.42,80.93,9.17,0,ALEMBICLTD,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembic/A08
Alicon Castalloy Limited,1401,51,31.92,302.79,10.54,0.62,ALICON,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aliconcastalloy/EC06
Alkali Metals Limited,88,2,2.77,51.1,5.59,0.36,ALKALI,https://www.moneycontrol.com/india/stockpricequote/chemicals/alkalimetals/AM11
Alkem Laboratories Limited,11599,1006,82.31,789.21,10.88,0.15,ALKEM,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05
Allcargo Logistics Limited,18050,635,25.62,126.75,22.37,0.25,ALLCARGO,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02
Allsec Technologies Limited,390,48,32.06,150.71,21.27,0,ALLSEC,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/allsectechnologies/ALL01
Almondz Global Securities Limited,76,3,6.1,81.08,7.51,0.1,ALMONDZ,https://www.moneycontrol.com/india/stockpricequote/finance-investments/almondzglobalsecurities/AGS
Alok Industries Limited,6937,-879,-1.77,-38.07,0,-1.27,ALOKINDS,https://www.moneycontrol.com/india/stockpricequote/textiles-weaving/alokindustries/AI54
Alpa Laboratories Limited,92,12,5.88,63.96,9.34,0.02,ALPA,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alpalaboratories/AL11
Alphageo (India) Limited,65,12,20.43,444.02,4.59,0,ALPHAGEO,https://www.moneycontrol.com/india/stockpricequote/oil-drillingexploration/alphageoindia/AI10
Alps Industries Limited,17,-59,-15.3,-203.47,0,-0.73,ALPSINDUS,https://www.moneycontrol.com/india/stockpricequote/textiles-general/alpsindustries/AI12
Ambica Agarbathies & Aroma industries Limited,117,2,1.47,61.09,2.4,0.6,AMBICAAGAR,https://www.moneycontrol.com/india/stockpricequote/trading/ambicaagar/AA9
Ambika Cotton Mills Limited,847,111,195.45,1426.4,13.7,0,AMBIKCO,https://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cotton-blended/ambikacottonmills/ACM04
Ambuja Cements Limited,38937,2996,13.01,195.18,8.14,0,AMBUJACEM,https://www.moneycontrol.com/india/stockpricequote/cement-major/ambujacements/AC18
AMD Industries Limited,350,19,10.02,82.33,12.17,0.65,AMDIND,https://www.moneycontrol.com/india/stockpricequote/packaging/amdindustries/AMD02
Ami Organics Limited,616,83,22.87,161.04,14.2,0.01,AMIORG,https://www.moneycontrol.com/india/stockpricequote/speciality-chemicals/amiorganics/AO05
Amj Land Holdings Limited,35,6,1.66,35.65,4.67,0.03,AMJLAND,https://www.moneycontrol.com/india/stockpricequote/paper/amjland/PPP
Amrutanjan Health Care Limited,379,39,13.65,99.47,13.69,0,AMRUTANJAN,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/amrutanjanhealthcare/AHC01
ANaNd Rathi Wealth Limited,548,168,40.46,115.16,35.96,0.04,ANANDRATHI,https://www.moneycontrol.com/india/stockpricequote/finance-investment/anandrathiwealth/ARW
ANaNt Raj Limited,956,144,4.73,88.19,5.34,0.33,ANANTRAJ,https://www.moneycontrol.com/india/stockpricequote/construction-real-estate/anantraj/ARI
ANDHRA PAPER LIMITED,2097,522,131.37,397.83,33.02,0.03,ANDHRAPAP,https://www.moneycontrol.com/india/stockpricequote/paper/andhrapaperlimited/APP
The Andhra Sugars Limited,2367,183,13.72,120.83,12.05,0.02,ANDHRSUGAR,https://www.moneycontrol.com/india/stockpricequote/commodity-chemicals/theandhrasugar/AS18
Angel One Limited,2984,881,105.9,253.49,41.69,0.37,ANGELONE,https://www.moneycontrol.com/india/stockpricequote/finance-stock-broking/angelone/ABL03
Anik Industries Limited,118,4,1.83,144.87,1.32,0.08,ANIKINDS,https://www.moneycontrol.com/india/stockpricequote/edible-oilssolvent-extraction/anikindustries/AI57
Ankit Metal & Power Limited,853,-98,-7,-62.55,0,-1.25,ANKITMETAL,https://www.moneycontrol.com/india/stockpricequote/steel-sponge-iron/ankitmetalpower/AMa
Anmol India Limited,1410,18,16.39,69.5,23.58,3.74,ANMOL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/anmolindia/AI81
Antarctica Limited,0,0,0,1.08,-0.02,0.18,ANTGRAPHIC,https://www.moneycontrol.com/india/stockpricequote/printingstationery/antarctica/A16
The Anup Engineering Limited,411,51,52.01,442.27,11.75,0.08,ANUP,https://www.moneycontrol.com/india/stockpricequote/engineering-industrial-equipments/theanupengineering/ANUP54246
Anupam Rasayan India Limited,1284,168,16.25,219.55,7.14,0.33,ANURAS,https://www.moneycontrol.com/india/stockpricequote/speciality-chemicals/anupamrasayanindia/ARI02
Apar Industries Limited,14352,637,166.64,584.37,28.51,0.14,APARINDS,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/aparindustries/AI40
Apex Frozen Foods Limited,1070,35,11.48,156.79,7.32,0.18,APEX,https://www.moneycontrol.com/india/stockpricequote/food-processing/apexfrozenfoods/AFF
APL Apollo Tubes Limited,16165,641,23.15,108.37,21.35,0.29,APLAPOLLO,https://www.moneycontrol.com/india/stockpricequote/steel-tubespipes/aplapollotubes/BT09
Alembic Pharmaceuticals Limited,5652,372,17.4,222.36,7.82,0.15,APLLTD,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35
Apollo Micro Systems Limited,297,18,9.02,185.03,4.88,0.37,APOLLO,https://www.moneycontrol.com/india/stockpricequote/aerospacedefence/apollomicrosystems/AMS
Apollo Pipes Limited,914,23,6.08,116.25,5.22,0.1,APOLLOPIPE,https://www.moneycontrol.com/india/stockpricequote/plastics/apollopipes/ALF02
Apollo Tyres Limited,24568,1104,17.39,202.77,8.57,0.43,APOLLOTYRE,https://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14
Apollo Sindoori Hotels Limited,367,14,65.05,461.56,14.09,0.87,APOLSINHOT,https://www.moneycontrol.com/india/stockpricequote/hotel-resortrestaurants/apollosindoorihotels/ASH
Aptus Value Housing FiNaNce India Limited,1093,503,10.11,67.05,15.06,1.13,APTUS,https://www.moneycontrol.com/india/stockpricequote/finance-housing/aptusvaluehousingfinanceindia/AVH
Archidply Industries Limited,421,12,6.17,52.26,11.8,0.8,ARCHIDPLY,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/archidplyindustries/AI
Archies Limited,86,2,0.71,28.26,2.52,0.21,ARCHIES,https://www.moneycontrol.com/india/stockpricequote/printingstationery/archies/A15
Arcotech Limited,0,-82,-7.82,-8.81,0,-5.27,ARCOTECH,https://www.moneycontrol.com/india/stockpricequote/metals-non-ferrous/arcotech/A17
Rajdarshan Industries Limited,1,0,0.95,66.85,1.41,0,ARENTERP,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/rajdarshanindustries/RI01
Aries Agro Limited,472,15,13.17,190.05,7.05,0.39,ARIES,https://www.moneycontrol.com/india/stockpricequote/fertilisers/ariesagro/AA02
Arihant Capital Markets Limited,137,28,2.8,24.64,11.34,0.23,ARIHANTCAP,https://www.moneycontrol.com/india/stockpricequote/finance-investments/arihantcapitalmarkets/ACM02
Arihant Superstructures Limited,389,42,10.37,59.67,14.96,1.58,ARIHANTSUP,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-real-estate/arihantsuperstructures/SMC07
Aro Granite Industries Limited,163,-5,-3.84,124.58,-3.03,1.08,AROGRANITE,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/arograniteindustries/AGI01
Arrow Greentech Limited,108,12,8.52,66.45,12.5,0.02,ARROWGREEN,https://www.moneycontrol.com/india/stockpricequote/plastics/arrowgreentech/ACP
Artemis Medicare Services Limited,737,38,2.89,25.37,11.49,0.72,ARTEMISMED,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedical-services/artemismedicareservices/ARTEM54291
Art Nirman Limited,19,0,0.04,13.67,0.32,0.07,ARTNIRMAN,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/artnirman/AN
Arvee Laboratories (India) Limited,61,4,3.74,25.46,14.67,0.04,ARVEE,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arveelaboratoriesltd/AL18
Arvind Limited,8382,415,15.51,130.18,12.09,0.42,ARVIND,https://www.moneycontrol.com/india/stockpricequote/textiles-denim/arvind/A18
Arvind SmartSpaces Limited,255,27,5.83,109.33,5.49,0.31,ARVSMART,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/arvindsmartspaces/AI72
Asahi India Glass Limited,4018,345,15.01,84.46,17.58,0.65,ASAHIINDIA,https://www.moneycontrol.com/india/stockpricequote/glassglass-products/asahiindiaglass/AIG01
Asahi Songwon Colors Limited,504,-18,-9.83,220.62,-5.32,0.82,ASAHISONG,https://www.moneycontrol.com/india/stockpricequote/dyespigments/asahisongwoncolors/ASC01
Automotive Stampings and Assemblies Limited,828,8,5.25,-17.23,-30.44,-1.68,ASAL,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/automotivestampingsassemblies/ASA01
Associated Alcohols & Breweries Ltd.,700,41,22.99,201.01,11.43,0.26,ASALCBR,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/associatedalcoholbreweries/AAB
Ashiana Housing Limited,407,27,2.81,74.22,3.66,0.24,ASHIANA,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-housing/ashianahousing/AH07
Ashima Limited,206,-7,-0.35,11.49,-3.01,0.11,ASHIMASYN,https://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cotton-blended/ashima/A10
Ashoka Buildcon Limited,8100,371,13.23,70.35,21.16,1.09,ASHOKA,https://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/ashokabuildcon/AB
Ashoka Metcast Limited,2,0,0.04,14.22,0.25,0,ASHOKAMET,https://www.moneycontrol.com/india/stockpricequote/diversified/ashokametcastlimited/AML04
Asian Energy Services Limited,109,-45,-11.77,52.92,-22.23,0.1,ASIANENE,https://www.moneycontrol.com/india/stockpricequote/oil-drillingexploration/asianenergyservices/AOS
Asian Hotels (North) Limited,255,-84,-43.6,-124.24,0,-4.48,ASIANHOTNR,https://www.moneycontrol.com/india/stockpricequote/hotels/asianhotelsnorth/AH
Asian Paints Limited,34488,4101,42.83,171.45,25.67,0.06,ASIANPAINT,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31
Aspinwall and Company Limited,294,28,36.51,226.04,16.15,0.08,ASPINWALL,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aspinwallcompany/AC27
Astral Limited,5158,461,17,109.95,16.84,0.03,ASTRAL,https://www.moneycontrol.com/india/stockpricequote/plastics/astrallimited/APT02
Astra Microwave Products Limited,815,72,8.06,74.2,10.86,0.29,ASTRAMICRO,https://www.moneycontrol.com/india/stockpricequote/defence/astramicrowaveproducts/AMP01
AstraZeneca Pharma India Limited,1002,99,39.7,235.48,16.86,0,ASTRAZEN,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP
Astron Paper & Board Mill Limited,394,-23,-5.15,34.24,-15.04,0.53,ASTRON,https://www.moneycontrol.com/india/stockpricequote/paper/astronpaperboardmillltd/APB
Atal Realtech Limited,40,2,1.47,24.03,6.1,0.32,ATALREAL,https://www.moneycontrol.com/india/stockpricequote/construction-infrastructure/atalrealtech/ARL
Atam Valves Limited,49,7,7.67,23.69,30.67,0.27,ATAM,https://www.moneycontrol.com/india/stockpricequote/engineering-industrial-equipments/atamvalves/AV02
Agro Tech Foods Limited,849,15,6.29,199.47,3.1,0.11,ATFL,https://www.moneycontrol.com/india/stockpricequote/edible-oilssolvent-extraction/agrotechfoods/ATF
Adani Total Gas Limited,4378,529,4.97,26.74,18.58,0.47,ATGL,https://www.moneycontrol.com/india/stockpricequote/gas-distribution/adanitotalgas/ADG01
Allcargo Terminals Limited,468,61,"17,523,886",7.38,33.8,0.18,ATL,https://www.moneycontrol.com/india/stockpricequote/ground-freightlogistics-services/allcargoterminals/AT29
Atlas Cycles (Haryana) Limited,1,-23,-35.75,-49.66,0,-0.28,ATLASCYCLE,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/atlascycleindustries/ACI08
ATN International Limited,0,0,-0.13,-1.85,0,-0.59,ATNINTER,https://www.moneycontrol.com/india/stockpricequote/finance-investment/atninternational/AI50
Atul Limited,5427,502,174.15,1598.18,11,0.01,ATUL,https://www.moneycontrol.com/india/stockpricequote/chemicals/atul/A06
AU Small FiNaNce Bank Limited,8205,1428,21.86,164.64,13,,AUBANK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/ausmallfinancebank/ASF02
Aurionpro Solutions Limited,659,102,42.69,225.9,19.55,0.15,AURIONPRO,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/aurionprosolutions/PS12
Aurum PropTech Limited,126,-39,-7.51,59.66,-12.98,0.03,AURUM,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/aurumproptech/M19
Ausom Enterprise Limited,177,2,0.88,85.44,1.03,0.47,AUSOMENT,https://www.moneycontrol.com/india/stockpricequote/finance-investments/ausomenterprise/CE06
Automotive Axles Limited,2323,162,107.22,502.46,21.33,0.01,AUTOAXLES,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/automotiveaxles/AA06
Avadh Sugar & Energy Limited,2798,100,50.07,445.17,11.24,1.2,AVADHSUGAR,https://www.moneycontrol.com/india/stockpricequote/sugar/avadhsugarenergy/ASE03
Avalon Technologies Limited,479,28,5,113.36,4.31,0.19,AVALON,https://www.moneycontrol.com/india/stockpricequote/electronics-components/avalontechnologies/AT27
Avanti Feeds Limited,5086,312,20.45,174.45,13.29,0,AVANTIFEED,https://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21
AVG Logistics Limited,427,7,6.68,75.71,8.82,1.26,AVG,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/avglogistics/ALL02
Avonmore Capital & Management Services Limited,211,107,48.84,151.13,41.49,0.09,AVONMORE,https://www.moneycontrol.com/india/stockpricequote/finance-investments/avonmorecapitalmanagementservices/AC19
AVRO INDIA LIMITED,80,4,4.12,18.49,22.25,0.62,AVROIND,https://www.moneycontrol.com/india/stockpricequote/plastic-products/avroindia/AM09
AVT Natural Products Limited,582,77,5.08,28.26,17.98,0.08,AVTNPL,https://www.moneycontrol.com/india/stockpricequote/edible-oilssolvent-extraction/avtnaturalproducts/AVT02
Adani Wilmar Limited,55262,607,4.67,61.46,7.6,0.27,AWL,https://www.moneycontrol.com/india/stockpricequote/consumer-food/adaniwilmar/AW
Axis Bank Limited,87448,10855,35.2,421.8,8.33,,AXISBANK,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/axisbank/AB16
AXISCADES Technologies Limited,821,-4,-1.37,89.95,-1.54,0.93,AXISCADES,https://www.moneycontrol.com/india/stockpricequote/computers-software-mediumsmall/axiscadestechnologies/AXI
Axita Cotton Limited,552,17,0.87,2.66,32.52,0,AXITA,https://www.moneycontrol.com/india/stockpricequote/textiles-cotton-blended/axitacotton/AC29
AYM Syntex Limited,1457,7,1.43,83.46,1.7,0.64,AYMSYNTEX,https://www.moneycontrol.com/india/stockpricequote/textiles-processing/aymsyntex/WS01
Bafna Pharmaceuticals Limited,115,11,4.86,31.05,15.43,0.31,BAFNAPH,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bafnapharmaceuticals/BP01
B.A.G Films and Media Limited,111,-1,-0.09,9.88,-1.18,0,BAGFILMS,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/bagfilmsmedia/BAG
Baid Finserv Limited,54,10,0.97,12.91,6.69,1.1,BAIDFIN,https://www.moneycontrol.com/india/stockpricequote/finance-leasinghire-purchase/baidfinserv/BLF
Bajaj Consumer Care Limited,960,139,9.48,55.36,17.62,0,BAJAJCON,https://www.moneycontrol.com/india/stockpricequote/personal-care/bajajconsumercare/BC02
Bajaj Electricals Limited,5429,216,18.8,165.74,11.33,0,BAJAJELEC,https://www.moneycontrol.com/india/stockpricequote/domestic-appliances/bajajelectricals/BE
Bajaj Healthcare Limited,673,43,15.59,133.23,11.7,1.13,BAJAJHCARE,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedical-services/bajajhealthcare/BHL
Bajaj Hindusthan Sugar Limited,6338,-134,-1.08,34.9,-3.1,0.99,BAJAJHIND,https://www.moneycontrol.com/india/stockpricequote/sugar/bajajhindusthansugar/BH06
Bajaj Holdings & Investment Limited,464,279,435.8,4633.2,10.97,0,BAJAJHLDNG,https://www.moneycontrol.com/india/stockpricequote/finance-investments/bajajholdingsinvestment/BHI
Balaji Amines Limited,2355,405,100.47,524.11,20.94,0.04,BALAMINES,https://www.moneycontrol.com/india/stockpricequote/chemicals/balajiamines/BA05
BALAXI PHARMACEUTICALS LIMITED,336,45,45.81,179.62,25.13,0.06,BALAXI,https://www.moneycontrol.com/india/stockpricequote/trading/balaxipharmaceuticals/TAR
Balkrishna Paper Mills Limited,109,-51,-48.3,-140.1,0,-0.63,BALKRISHNA,https://www.moneycontrol.com/india/stockpricequote/paper/balkrishnapapermills/NPM01
Balkrishna Industries Limited,9759,1057,54.7,390.94,13.99,0.44,BALKRISIND,https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03
Balmer Lawrie & Company Limited,2321,106,10.05,100.11,10.22,0.05,BALMLAWRIE,https://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawrieco/BLC
Bal Pharma Limited,304,2,1.67,40.6,4.03,2.05,BALPHARMA,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/balpharma/BP02
