Symbol,Company Name,INCOME,Revenue From Operations [Gross],Less: Excise/Sevice Tax/Other Levies,Revenue From Operations [Net],Total Operating Revenues,Other Income,Total Revenue,EXPENSES,Cost Of Materials Consumed,Purchase Of Stock-In Trade,Operating And Direct Expenses,"Changes In Inventories Of FG,WIP And Stock-In Trade",Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,Total Expenses,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Exceptional Items,Profit/Loss Before Tax,Tax Expenses-Continued Operations,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Tax For Earlier Years,Total Tax Expenses,Profit/Loss After Tax And Before ExtraOrdinary Items,Profit/Loss From Continuing Operations,Profit/Loss For The Period,OTHER ADDITIONAL INFORMATION,EARNINGS PER SHARE,Basic EPS (Rs.),Diluted EPS (Rs.),"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",Imported Raw Materials,Indigenous Raw Materials,"STORES, SPARES AND LOOSE TOOLS",Imported Stores And Spares,Indigenous Stores And Spares,DIVIDEND AND DIVIDEND PERCENTAGE,Equity Share Dividend,Tax On Dividend,Equity Dividend Rate (%)
ALKALI,Alkali Metals Ltd.,,70.17,0,70.17,70.85,0.57,71.42,,33.35,0,0,0.2,9.76,2.47,3.45,20.86,70.08,1.33,-0.22,1.12,,0.14,0.14,0,-0.14,-0.14,1.25,1.25,1.25,,,0.94,0.94,,0,0,,0,0,,2.7,0,10
ALKEM,Alkem Laboratories Ltd.,,"6,534.80",0.00,"6,534.80","6,677.08",95.98,"6,773.06",,"1,799.87",784.38,0.00,-33.69,"1,066.76",38.71,186.84,"1,592.11","5,434.98","1,338.08",0.00,"1,338.08",,278.33,0.0,-173.29,-31.38,73.66,"1,264.42","1,264.42","1,264.42",,,105.75,105.75,,0.0,0.00,,0.0,0.00,,358.70,73.21,"1,250.00"
ALLSEC,ALLSEC Technologies Ltd.,,201.33,0,201.33,201.33,5.45,206.78,,0,0,0,0,129.72,1.74,14.55,30.45,176.46,30.32,-12.14,18.18,,8.47,0,0.26,0,8.73,9.45,9.45,9.45,,,6.2,6.2,,0,0,,0,0,,15.24,3.1,0
ALPA,Alpa Laboratories Ltd.,,84.87,0,84.87,85.97,2.97,88.94,,49.48,1.94,4.27,-0.42,11.82,0.2,1.14,15.43,83.86,5.08,0,5.08,,1.9,0,-0.75,-0.15,1,4.08,4.08,4.08,,,1.95,1.95,,0,0,,0,0,,0,0,0
ALPHAGEO,Alphageo (India) Ltd.,,267.52,0.00,267.52,267.52,3.75,271.27,,0.00,0.00,196.53,0.0,15.30,2.51,26.84,39.56,280.76,-9.49,0.00,-9.49,,0.44,0.0,0.17,0.00,0.61,-10.10,-10.10,-10.10,,,-15.87,-15.87,,0.0,0.00,,0.0,0.00,,12.28,0.0,80.00
ALPSINDUS,Alps Industries Ltd.,,296.71,0,296.71,313.2,8.74,321.94,,198.8,0,51.9,1.01,46.56,57.53,14.82,29.72,446.99,-125.05,9.96,-115.1,,0,0,0,0,0,-115.1,-115.1,-115.1,,,-29.43,-29.43,,8.81,189.99,,1.06,5.76,,0,0,0
AMBICAAGAR,Ambica Agar Ltd.,,167.5,0,167.5,167.5,0.96,168.46,,13.81,122.57,0,-3.73,6,7.66,3.02,15.49,164.82,3.65,0,3.65,,0,0,-0.62,0,-0.62,4.26,4.26,4.26,,,0,0,,0,0,,0,0,,0,0,0
AMBIKCO,Ambika Cotton Mills Ltd.,,607.67,0,607.67,623.09,0.76,623.85,,429.38,0,0,-35.91,41.15,9.35,27.58,83.17,554.72,69.13,0,69.13,,19.9,0,-3.02,0,16.88,52.26,52.26,52.26,,,91.28,91.28,,0,0,,0,0,,17.18,3.53,150
AMDIND,AMD Industries Ltd.,,172.66,0,172.66,174.55,0.61,175.16,,105.05,0.25,0,-6.75,15,6.53,10.22,43.73,174.02,1.14,4.79,5.93,,1.3,0,-0.55,0,0.75,5.18,5.18,5.18,,,2.7,2.7,,0,0,,0,0,,0,0,0
AMJLAND,AMJ Land Ltd.,,16.16,0,16.16,17.12,11.98,29.09,,0,0,16.22,-7.38,1.49,0.02,1.85,6.02,18.21,10.88,0,10.88,,2.82,0,-1.64,0,1.18,9.7,9.7,9.7,,,2.36,2.36,,0,0,,0,0,,2.05,0.42,10
AMRUTANJAN,Amrutanjan Health Care Ltd.,,260.72,0,260.72,261.48,8.32,269.8,,88.06,35.99,0,-6.97,39.36,0.22,4.36,74.33,235.34,34.45,0,34.45,,9.43,0,-0.06,0,9.37,25.08,25.08,25.08,,,8.58,8.58,,0,0,,0,0,,4.53,0.93,210
ANANTRAJ,Anant Raj Ltd.,,408.36,0,408.36,408.36,9.25,417.6,,0,0,316.31,0,10.67,10.4,15.95,23.89,377.22,40.38,0,40.38,,10.48,0,2.57,0,13.05,27.33,27.33,27.33,,,0.93,0.93,,0,0,,0,0,,2.58,0,4
ANDHRAPAP,Andhra Paper Ltd.,,"1,257.22",0,"1,257.22","1,269.70",14.54,"1,284.24",,437.92,0,0,-59.53,157.33,5.32,75.9,431.49,"1,048.43",235.8,0,235.8,,67.9,0,-45.02,0,22.88,212.92,212.92,212.92,,,53.54,53.54,,0,0,,0,0,,0,0,0
ANDHRSUGAR,The Andhra Sugar Ltd.,,"1,024.46",0,"1,024.46","1,040.68",27.02,"1,067.70",,320.95,0,0,13.99,122.56,27.63,56.49,322.82,864.44,203.26,0,203.26,,53,0,-37.89,-2,13.1,190.16,190.16,190.16,,,70.15,70.15,,62.41,258.54,,3.36,29.53,,81.32,16.62,200
ANIKINDS,Anik Industries Ltd.,,492.43,0,492.43,492.43,8.07,500.5,,31.29,412.91,0,34.21,4.12,10.95,0.89,63.15,557.51,-57.02,0,-57.02,,0,0,-19.28,0,-19.28,-37.73,-37.73,-37.73,,,-13.59,-13.59,,0,0,,0,0,,0,0,0
ANKITMETAL,Ankit Metal and Power Ltd.,,548.28,0,548.28,548.28,0.06,548.34,,342.38,17.84,0,74.73,20.63,44.23,51.13,72.44,623.38,-75.04,0,-75.04,,0,0,0,0,0,-75.04,-75.04,-75.04,,,-5.32,-5.32,,0,0,,0,0,,0,0,0
ANTGRAPHIC,Antarctica Ltd.,,1.32,0,1.32,1.32,0,1.32,,0.44,0,0,-0.2,0.17,0.01,0.12,0.75,1.28,0.04,0,0.04,,0,0,0.01,0,0.01,0.04,0.04,0.04,,,0,0,,0,0,,0,0,,0,0,0
ANUP,The Anup Engineering Ltd.,,239.11,0,239.11,245.46,4.07,249.53,,142.93,0,0,-32.56,16.2,0.76,8.92,50.28,186.53,63,0,63,,17.52,0,2.51,0,20.03,42.97,42.97,42.97,,,42.13,41.97,,0,0,,0,0,,7.14,1.47,70
APEX,Apex Frozen Foods Ltd.,,827.11,0,827.11,827.11,18.99,846.1,,651.31,0,55.7,-77.77,43.71,10.64,14.59,67.15,765.34,80.76,0,80.76,,20.24,0,-0.12,0,20.12,60.64,60.64,60.64,,,19.41,19.41,,0,0,,0,0,,15.07,0,20
APLAPOLLO,APL Apollo Tubes Ltd.,,"5,704.40",0,"5,704.40","5,930.81",27.23,"5,958.04",,"4,709.18",601.2,0,-73.6,92.63,82.14,68.91,363.79,"5,844.25",113.79,0,113.79,,26.35,0,-26.01,-1.56,-1.22,115.01,115.01,115.01,,,46.96,46.55,,0,0,,0,0,,0,0,0
APLLTD,Alembic Pharmaceuticals Ltd.,,"4,019.53",0,"4,019.53","4,132.55",134.75,"4,267.30",,978.13,244.26,0,-176.51,806.37,25.19,135.67,"1,077.40","3,090.51","1,176.79",-10,"1,166.79",,198.48,0,0,-1.09,197.39,969.4,969.4,969.4,,,51.42,51.42,,0,0,,0,0,,292.2,33.77,500
APOLLOTYRE,Apollo Tyres Ltd.,,"10,832.70",0,"10,832.70","11,062.03",34.9,"11,096.93",,"6,072.95",651.73,0,112.83,826.12,225.7,620.71,"2,005.52","10,515.54",581.39,0,581.39,,102.66,0,-29.9,0,72.76,508.62,508.62,508.62,,,8.89,8.89,,"2,247.13","3,825.82",,6.41,83.69,,357.53,73.49,300
APOLSINHOT,Apollo Sindoori Hotels Ltd.,,185.61,0,185.61,185.61,5.26,190.86,,0,0,68.51,0,94.37,0.7,2.33,11.44,177.35,13.51,0,13.51,,3.24,0,-0.35,0.33,3.22,10.29,10.29,10.29,,,39.58,39.58,,0,0,,0,0,,0.78,0.16,40
ARCHIDPLY,Archidply Industries Ltd.,,266.53,0,266.53,267.31,1.17,268.48,,105.64,60.72,18.21,-2.78,26.67,6.69,4.91,41.93,262,6.48,0,6.48,,2.2,0,-0.41,0.91,2.71,3.78,3.78,3.78,,,1.71,1.71,,16.73,88.91,,0.01,3.62,,0,0,0
ARCHIES,Archies Ltd.,,135.42,0,135.42,139.32,1.77,141.09,,10.41,47.89,0,-7.07,30.29,9.58,18.42,41.46,151.31,-10.22,0,-10.22,,0,0,-3.12,0.08,-3.04,-7.18,-7.18,-7.18,,,-2.12,-2.12,,0,0,,0,0,,0,0,0
ARCOTECH,Arcotech Ltd.,,75.27,0,75.27,75.49,1.17,76.66,,75.33,0,0,56.16,2.66,13.09,11.07,7.93,166.23,-89.58,0,-89.58,,0,0,-30.86,0,-30.86,-58.71,-58.71,-58.71,,,-5.59,-5.59,,0,0,,0,0,,0,0,0
ARENTERP,Rajdarshan Industries Ltd.,,0.6,0,0.6,0.6,0.3,0.89,,0,0,0,0,0.31,0,0.03,8.39,8.73,-7.83,0,-7.83,,0.1,0,-2.11,0,-2.01,-5.82,-5.82,-5.82,,,-24.36,-24.36,,0,0,,0,0,,0,0,0
ARIES,Aries Agro Ltd.,,296.14,0,296.14,296.14,12.16,308.31,,129.34,0,19.47,-4.42,39.65,25.52,5.36,70.29,285.22,23.09,0,23.09,,6.47,0,0.61,0.39,7.48,15.61,15.61,15.61,,,12,12,,21.96,43.93,,0,0,,2.99,0.61,5
ARIHANTSUP,Arihant Superstructures Ltd.,,58.73,0,58.73,58.73,2.46,61.19,,0,0,31.61,9.24,3.37,7.67,0.79,9.95,62.63,-1.43,0,-1.43,,0,0,-0.02,0,-0.02,-1.42,-1.42,-1.42,,,-0.34,-0.34,,0,0,,0,0,,0,0,0
ARROWGREEN,Arrow Greentech Ltd.,,31.45,0,31.45,31.45,2.71,34.16,,3.55,9.33,0,-0.73,6.61,0.45,3.23,9.11,31.57,2.6,-0.32,2.28,,0.49,0,-0.33,0,0.16,2.12,2.12,2.12,,,1.79,1.79,,0,0,,0,0,,0.59,0,5
ARVIND,Arvind Ltd.,,"6,434.91",0,"6,434.91","6,705.31",80.16,"6,785.47",,"3,158.37",214.71,27.69,64.27,776.12,224.1,240.54,"1,770.74","6,476.54",308.93,-58.82,250.11,,48.71,0,18.07,11.95,78.73,171.38,171.38,171.38,,,6.62,6.62,,0,0,,0,0,,51.75,10.07,0
ARVSMART,Arvind SmartSpaces Ltd.,,149.43,0,149.43,151.34,10.61,161.94,,0,0,128.18,-52.01,12.84,18.22,0.82,27.84,135.89,26.05,0,26.05,,2.73,0,3.94,0,6.67,19.38,19.38,19.38,,,5.46,5.46,,0,0,,0,0,,6.4,0,0
ASAHIINDIA,Asahi India Glass Ltd.,,"2,580.82",0,"2,580.82","2,599.26",15.44,"2,614.70",,867.8,7.18,0,-39.31,250.74,143.93,132.06,"1,064.63","2,427.03",187.67,-3.51,184.16,,50.16,0,-27.14,1.23,24.25,159.91,159.91,159.91,,,6.58,6.58,,0,0,,0,0,,48.62,9.99,100
ASAL,Automotive Stampings and Assemblies Ltd.,,362.24,0.00,362.24,362.40,0.44,362.85,,267.50,0.00,0.00,11.63,34.45,17.48,11.31,58.36,400.74,-37.89,21.00,-16.89,,0.12,0.0,0.00,0.00,0.12,-17.01,-17.01,-17.01,,,-10.72,-10.72,,0.0,0.00,,0.0,0.00,,0.00,0.0,0.00
ASHIANA,Ashiana Housing Ltd.,,258.08,0,258.08,258.08,15.65,273.73,,0,43.43,146.37,7.28,24.78,13.49,9.05,48.4,292.8,-19.07,-17.39,-36.46,,3.96,0,-12.23,0,-8.27,-28.19,-28.19,-28.19,,,-2.72,-2.72,,0,0,,0,0,,2.56,0.53,15
ASHIMASYN,Ashima Ltd.,,282.03,0,282.03,285.44,7.76,293.2,,135.45,6.72,0,11.74,44.91,2.03,5.37,90.37,296.59,-3.39,0,-3.39,,0,0,0,0,0,-3.39,-3.39,-3.39,,,-0.18,-0.18,,0,0,,0,0,,0,0,0
ASHOKA,Ashoka Buildcon Ltd.,,"3,896.67",0,"3,896.67","3,937.43",144.93,"4,082.36",,0,0,"2,997.48",0,182.01,85.45,111.13,172.31,"3,548.38",533.99,0,533.99,,142.52,0,4.33,0,146.85,387.14,387.14,387.14,,,13.79,13.79,,0,0,,0,0,,0,0,0
ASIANHOTNR,Asian Hotels (North) Ltd.,,252.39,0.00,252.39,252.39,14.56,266.95,,0.00,0.00,36.72,0.0,69.12,125.47,17.93,91.66,340.91,-73.95,0.00,-73.95,,0.00,0.0,-10.82,0.00,-10.82,-63.13,-63.13,-63.13,,,-32.45,-32.45,,0.0,0.00,,0.0,0.00,,0.00,0.0,0.00
ASIANPAINT,Asian Paints Ltd.,,"17,025.61",0,"17,025.61","17,194.09",357.54,"17,551.63",,"8,432.51","1,283.88",0,-210.21,985.43,78.38,689.97,"2,845.44","14,105.40","3,446.23",-33.2,"3,413.03",,871.15,0,-117.73,5.66,759.08,"2,653.95","2,653.95","2,653.95",,,27.67,27.67,,0,0,,0,0,,"1,740.95",353.07,"1,200.00"
ASPINWALL,Aspinwall and Company Ltd.,,247.97,0.00,247.97,253.29,8.21,261.50,,81.39,11.87,0.00,11.54,35.12,5.20,3.30,110.60,261.20,0.30,0.00,0.30,,0.16,0.0,-0.61,0.21,-0.24,0.54,0.54,0.54,,,0.69,0.69,,0.0,0.00,,0.0,0.00,,4.30,0.61,25.00
ASTRAL,Astral Ltd.,,"2,038.50",0.00,"2,038.50","2,042.80",10.90,"2,053.70",,"1,290.00",67.10,0.00,-59.4,97.70,33.70,89.90,277.70,"1,796.70",257.00,-2.50,254.50,,63.10,0.0,-9.40,0.00,53.70,200.80,200.80,200.80,,,13.33,13.33,,0.0,0.00,,0.0,0.00,,24.00,0.0,100.00
ASTRAZEN,AstraZeneca Pharma Ltd.,,831.77,0,831.77,831.81,12.99,844.8,,70.21,274.23,0,-39.21,216.7,1.14,18.58,189.18,730.83,113.97,0,113.97,,31.51,0,10.25,0,41.76,72.21,72.21,72.21,,,28.9,28.9,,0,0,,0,0,,2.5,0.51,50
ASTRON,Astron Paper & Board Mill Ltd.,,395.93,37.68,358.25,359.01,1.51,360.52,,207.41,0.06,91.79,-6.03,15.63,9.92,5.4,15.93,340.12,20.4,0.0,20.4,,4.22,0.0,2.66,0.0,6.89,13.51,13.51,13.51,,,2.91,2.91,,172.49,34.92,,0.0,0.0,,0.0,0.0,0.0
ATFL,Agro Tech Foods Ltd.,,834.36,0,834.36,835.08,3.4,838.48,,430.66,132.47,0,7.73,43.63,1.77,18.84,162.48,797.56,40.91,0,40.91,,10.97,0,-3.98,0,6.99,33.92,33.92,33.92,,,14.38,14.38,,0,0,,0,0,,7.13,0,30
ATGL,Adani Total Gas Ltd.,,"1,977.94",116.35,"1,861.59","1,874.55",44.39,"1,918.94",,0.00,"1,059.63",0.00,0.34,47.46,41.05,50.70,172.36,"1,371.54",547.40,0.00,547.40,,122.54,0.0,-11.38,0.00,111.16,436.24,436.24,436.24,,,3.97,3.97,,0.0,0.00,,0.0,0.00,,54.99,11.3,25.00
ATLASCYCLE,Atlas Cycle Industries Ltd.,,155.49,0,155.49,155.9,44.2,200.1,,105.35,6.04,0,2.86,34.79,9.42,4.4,44.12,206.97,-6.87,0,-6.87,,0,0,-9.99,0,-9.99,3.12,3.12,3.12,,,4.8,4.8,,0,28.26,,7.74,69.35,,0,0,0
ATNINTER,ATN International Ltd.,,0.21,0,0.21,0.21,0,0.21,,0,0,0,0,0.23,0,0,0.24,0.48,-0.27,0,-0.27,,0,0,0,0,0,-0.27,-0.52,-0.52,,,-0.13,-0.13,,0,0,,0,0,,0,0,0
ATUL,Atul Ltd.,,"3,841.02",0.00,"3,841.02","3,905.66",77.61,"3,983.27",,"1,739.92",142.14,0.00,-1.36,249.25,2.35,117.06,931.37,"3,180.73",802.54,0.00,802.54,,204.33,0.0,-41.96,0.00,162.37,640.17,640.17,640.17,,,215.82,215.82,,0.0,0.00,,0.0,0.00,,126.06,25.27,275.00
AUBANK,AU Small Finance Bank Ltd.,,"3,414.84",613.47,25.8,231.77,"4,285.88",706.09,"4,991.98",,"2,376.94",759.62,88.62,569.62,"1,417.86",268.92,-29.73,283.2,522.39,"4,317.19",674.78,674.78,"1,572.03","2,246.81",,168.7,6.93,0,26.44,0,0.0,"1,887.32","2,246.81",,,22.78,22.32,,0,,,,,
