Symbol,Company Name,INCOME,Revenue From Operations [Gross],Less: Excise/Sevice Tax/Other Levies,Revenue From Operations [Net],Total Operating Revenues,Other Income,Total Revenue,EXPENSES,Cost Of Materials Consumed,Purchase Of Stock-In Trade,Operating And Direct Expenses,"Changes In Inventories Of FG,WIP And Stock-In Trade",Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,Total Expenses,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Exceptional Items,Profit/Loss Before Tax,Tax Expenses-Continued Operations,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Tax For Earlier Years,Total Tax Expenses,Profit/Loss After Tax And Before ExtraOrdinary Items,Profit/Loss From Continuing Operations,Profit/Loss For The Period,OTHER ADDITIONAL INFORMATION,EARNINGS PER SHARE,Basic EPS (Rs.),Diluted EPS (Rs.),"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",Imported Raw Materials,Indigenous Raw Materials,"STORES, SPARES AND LOOSE TOOLS",Imported Stores And Spares,Indigenous Stores And Spares,DIVIDEND AND DIVIDEND PERCENTAGE,Equity Share Dividend,Tax On Dividend,Equity Dividend Rate (%)
ACE,Action Construction Equipment Ltd.,,"1,339.73",0,"1,339.73","1,342.49",9.71,"1,352.19",,"1,011.61",15.09,51.32,-47.01,75.03,11.52,11.75,138.53,"1,267.85",84.35,0,84.35,,26.43,0,1.75,0,28.18,56.16,56.16,56.16,,,4.79,4.79,,0,0,,0,0,,5.87,1.21,25
ADANIENT,Adani Enterprises Ltd.,,"15,334.62",0,"15,334.62","15,541.30",382.3,"15,923.60",,0,"13,230.36",0,-605.27,239.36,581.07,101.19,"1,728.87","15,275.58",648.02,-20.82,627.2,,94.9,0,44.52,2.87,142.29,484.91,484.91,487.24,,,4.43,4.43,,0,0,,0,0,,43.99,9.04,40
ADANIGREEN,Adani Green Energy Ltd.,,317.08,0,317.08,318.13,302.65,620.77,,0,547.03,0,-249.33,25.67,288.24,8.34,39.99,659.94,-39.16,0,-39.16,,0,0,-4.18,0,-4.18,-34.98,-34.98,-34.98,,,-0.32,-0.32,,0,0,,0,0,,0,0,0
ADFFOODS,ADF Foods Industries Ltd.,,187.5,0,187.5,187.5,14.05,201.55,,89.33,6.55,0,-4.21,13.43,0.87,4.31,47.28,157.55,44,0,44,,12.91,0,0.61,0,13.52,30.48,30.48,30.48,,,14.84,14.84,,0,0,,0,0,,0,0,0
ADORWELD,Ador Welding Ltd.,,509.88,0,509.88,512.15,10.42,522.57,,350.83,9.79,28.16,1.67,41.54,9.05,9.6,37.15,487.79,34.78,0,34.78,,10.18,0,0.75,0,10.93,23.85,23.85,23.85,,,17.54,17.54,,0,0,,0,0,,6.8,1.4,65
ADROITINFO,Adroit Infotech Ltd.,,14.41,0,14.41,14.41,0.18,14.59,,0,0,1.5,0,9.25,0.18,0.54,4.47,15.94,-1.35,0,-1.35,,0,0,-0.06,0,-0.06,-1.28,-1.28,-1.28,,,-0.7,-0.7,,0,0,,0,0,,0,0,0
ADSL,Allied Digital Services Ltd.,,75.23,0,75.23,75.23,4.12,79.35,,0,13.58,0,-0.72,25,9.21,13.85,10.81,71.73,7.62,3.51,11.13,,2.1,2.1,1.5,0,1.5,9.63,9.63,9.63,,,1.92,1.92,,0,0,,0,0,,0,0,0
ADVANIHOTR,Advani Hotels and Resorts (India) Ltd.,,64.23,0,64.23,70.28,1.45,71.73,,0,0,5.67,0,22.45,0.06,3.65,25.96,57.8,13.92,0,13.92,,4.05,0,-1.65,0.16,2.55,11.37,11.37,11.37,,,2.46,2.46,,0,0,,0,0,,2.77,0.57,100
AGARIND,Agarwal Industrial Corporation Ltd.,,527.04,0,527.04,528.69,0.75,529.44,,128.38,280.17,61.12,13.01,4.72,9.22,8.33,4.54,509.5,19.93,0,19.93,,6.14,0,0.58,0,6.72,13.21,13.21,13.21,,,12.88,12.88,,0,0,,0,0,,1.54,0.32,18
AGI,AGI Greenpac Ltd.,,"2,664.47",0,"2,664.47","2,709.65",29.89,"2,739.54",,619.94,510.76,0,1.69,360.36,87.48,150.98,900.7,"2,631.92",107.63,0,107.63,,24.59,19.74,28.59,3.73,37.16,70.47,70.47,70.47,,,9.74,9.74,,0,0,,0,0,,34.86,0,150
AGRITECH,Agri-Tech (India) Ltd.,,0.17,0,0.17,0.17,0.55,0.72,,0,0,0.24,0,0.22,0,0.02,0.58,1.07,-0.35,0,-0.35,,0.41,0,0,0.08,0.49,-0.84,-0.84,-0.84,,,-3.23,-3.23,,0,0,,0,0,,0,0,0
AGROPHOS,Agro Phos India Ltd.,,62.93,0,62.93,62.93,9.24,72.16,,30.66,24.8,0,0.17,2.31,2.59,1.07,8.92,70.53,1.63,0,1.63,,0.35,0,0.46,0,0.8,0.83,0.83,0.83,,,0.41,0.41,,0,0,,0,0,,0.12,0,1
AIAENG,AIA Engineering Ltd.,,"2,737.17",0,"2,737.17","2,837.59",116.22,"2,953.80",,"1,240.91",239.08,0,-88.47,90.89,7.19,77.7,784.59,"2,351.89",601.91,0,601.91,,169.63,0,17.46,0,187.09,414.82,414.82,414.82,,,43.98,43.98,,0,0,,0,0,,0,0,450
AIRAN,Airan Ltd.,,44.13,0,44.13,44.13,2.41,46.53,,0,0,14.99,0,16.75,0.92,1.99,3.69,38.34,8.19,0,8.19,,2.3,0,0.04,0,2.34,5.86,5.86,5.86,,,0.94,0.94,,0,0,,0,0,,0,0,0
AJANTPHARM,Ajanta Pharma Ltd.,,"1,731.36",0,"1,731.36","1,772.62",102.15,"1,874.77",,388.71,70.79,0,-67.39,389.37,0.41,69.9,509.93,"1,361.72",513.05,0,513.05,,108.66,0,12.63,0,121.29,391.76,391.76,391.76,,,44.51,44.51,,0,0,,0,0,,79.22,0.37,450
AJMERA,Ajmera Realty and Infra India Ltd.,,342.85,0,342.85,342.85,14.39,357.24,,0,0,164.37,0,23.1,47.54,1.89,37.63,274.53,82.71,0,82.71,,16.54,0,0,0,16.54,66.17,66.17,66.17,,,18.49,18.49,,0,0,,0,0,,11.71,0.15,33
AKSHARCHEM,AksharChem (India) Ltd.,,309.67,0,309.67,322.88,5.35,328.23,,193.74,16.16,0,-5.36,9.67,0.92,5.51,74.18,294.83,33.41,0,33.41,,7.39,0,3.43,0,10.82,22.59,22.59,22.59,,,27.54,27.54,,0,0,,0,0,,2.87,0.59,35
AKSHOPTFBR,Aksh Optifibre Ltd.,,516.25,0,516.25,528.73,7.42,536.15,,316.39,17.56,0,-19.63,37.53,28.38,24.46,88.53,493.22,42.93,3.63,46.56,,13.63,0,4.8,0,18.43,28.14,28.14,28.14,,,1.73,1.73,,0,0,,0,0,,5.88,0,0
AKZOINDIA,Akzo Nobel India Ltd.,,"2,880.20",0,"2,880.20","2,918.40",42.2,"2,960.60",,"1,499.00",206.5,0,-14.4,265,4.5,65.2,619.9,"2,645.70",314.9,0.7,315.6,,109.8,0,-5.2,0,104.6,211,211,211,,,45.96,45.96,,0,0,,0,0,,120.8,0,240
ALBERTDAVD,Albert David Ltd.,,312.7,0,312.7,316.89,6.79,323.68,,58.97,46.46,0,1.25,89.49,0.62,6.98,91.05,294.83,28.85,0,28.85,,11.33,0,-0.2,0,11.13,17.72,17.72,26.64,,,15.62,15.62,,0,0,,0,0,,3.78,0,60
ALEMBICLTD,Alembic Ltd.,,112.84,0,112.84,123.81,29.45,153.26,,45.21,0,22.33,-0.59,20.52,0.22,2.63,18.24,108.56,44.7,0,44.7,,4.62,0,-0.83,-0.21,3.59,41.11,41.11,41.11,,,1.59,1.59,,0,0,,0,0,,6.19,0,10
ALKALI,Alkali Metals Ltd.,,70.42,0,70.42,71.56,0.4,71.95,,39.82,0,0,-5.55,9.44,2.71,3.41,20.43,70.26,1.69,0,1.69,,0.36,0.36,0,0,0,1.69,1.69,1.69,,,1.85,1.85,,0,0,,0,0,,1.23,0,12
ALKEM,Alkem Laboratories Ltd.,,"5,631.36",0,"5,631.36","5,714.09",67.58,"5,781.67",,"1,497.22",688.09,0,86.56,960.09,28.26,141.07,"1,436.42","4,837.71",943.96,0,943.96,,200.41,0,-56.29,0,144.12,799.84,799.84,799.84,,,66.9,66.9,,0,0,,0,0,,179.35,36.46,800
ALLSEC,ALLSEC Technologies Ltd.,,153.17,0,153.17,153.17,7.43,160.6,,0,0,0,0,90.1,0.2,4.08,33,127.38,33.22,-13.07,20.15,,8.9,0,1.74,0,10.64,9.51,9.51,9.51,,,6.24,6.24,,0,0,,0,0,,7.62,1.58,100
ALPA,Alpa Laboratories Ltd.,,76.42,0,76.42,77.99,5.07,83.05,,46.46,0.85,4.26,1.53,12.04,0.57,1.1,11.85,78.65,4.4,0,4.4,,1.25,0,0.59,-0.17,1.67,2.73,2.73,2.73,,,1.27,1.27,,0,0,,0,0,,0,0,0
ALPHAGEO,Alphageo (India) Ltd.,,405.08,0,405.08,405.08,5.07,410.15,,0,0,275.08,0,21.49,2.97,26.82,6.94,333.3,76.85,0,76.85,,29.81,0,-2.86,0,26.95,49.9,49.9,49.9,,,78.4,78.4,,0,0,,0,0,,6.14,0,80
ALPSINDUS,Alps Industries Ltd.,,343.72,0,343.72,371.15,6.31,377.46,,244.41,0,52.85,-2.73,47.22,57.84,33.79,29.72,463.1,-85.64,22.39,-63.25,,0,0,0,0,0,-63.25,-63.25,-63.25,,,-16.17,-16.17,,11.46,232.95,,1.3,5.16,,0,0,0
AMBICAAGAR,Ambica Agar Ltd.,,137.17,0,137.17,138.21,2.82,141.03,,15.88,87.17,0,-0.22,5.13,7.77,3.85,17.88,137.46,3.56,0,3.56,,0,0,-6.68,0,-6.68,10.25,10.25,10.25,,,0,0,,0,0,,0,0,,0,0,0
AMBIKCO,Ambika Cotton Mills Ltd.,,644.5,0,644.5,656.01,0.98,657,,422.26,0,0,-6.97,37.77,9.42,28.85,78.84,570.17,86.83,0,86.83,,26.64,0,-2.99,0,23.64,63.18,63.18,63.18,,,110.36,110.36,,0,0,,0,0,,14.31,2.94,300
AMDIND,AMD Industries Ltd.,,152.76,0,152.76,155.72,3.5,159.22,,87.12,0.2,0,1.34,15.58,8.55,10.32,36.5,159.61,-0.39,0,-0.39,,0.11,0,-0.73,0,-0.62,0.23,0.23,0.23,,,0.12,0.12,,0,0,,0,0,,0,0,0
AMJLAND,AMJ Land Ltd.,,19.52,0,19.52,20.51,3.45,23.96,,0,0,7.99,1.7,2.03,0.08,1.85,2.63,16.29,7.67,0,7.67,,2.22,0,0.1,0,2.32,5.35,5.35,5.35,,,1.3,1.3,,0,0,,0,0,,0.82,0.17,15
AMRUTANJAN,Amrutanjan Health Care Ltd.,,251.97,0,251.97,253.23,7.13,260.36,,90.52,31.64,0,-3.3,33.36,0.08,3.16,69.72,225.19,35.17,0,35.17,,10.23,0,-0.06,0,10.17,25,25,24.51,,,8.38,8.38,,0,0,,0,0,,3.22,0.66,215
ANANTRAJ,Anant Raj Ltd.,,328.32,0,328.32,328.32,10.93,339.25,,0,0,224.12,0,11.75,18.79,17.46,25.26,297.37,41.87,0,41.87,,6.25,0,3.16,0,9.41,32.46,32.46,32.46,,,1.1,1.1,,0,0,,0,0,,0,0,12
ANDHRAPAP,Andhra Paper Ltd.,,"1,409.50",0,"1,409.50","1,427.33",14.59,"1,441.92",,479.73,0,0,-1.2,152.68,8.54,67.87,417.54,"1,125.16",316.76,-5.43,311.33,,113.3,0,-2.05,0,111.26,200.08,200.08,200.08,,,50.31,50.31,,0,0,,0,0,,0,0,0
ANDHRSUGAR,The Andhra Sugar Ltd.,,969.58,0,969.58,974.36,37.43,"1,011.79",,399.52,0,0,-138.68,117.54,29.24,49.73,300.42,757.77,254.03,0,254.03,,83.6,0,4.74,-0.03,88.31,165.72,165.72,165.72,,,61.14,61.14,,72.77,326.75,,13.78,61.36,,27.11,5.37,100
ANIKINDS,Anik Industries Ltd.,,604.54,0,604.54,604.54,11.84,616.38,,46.23,551.61,0,-11.2,3.97,12.74,0.89,34.79,639.04,-22.67,0,-22.67,,0,0,-7.47,0,-7.46,-15.2,-15.2,-15.2,,,-5.48,-5.48,,0,0,,0,0,,0,0,0
ANKITMETAL,Ankit Metal and Power Ltd.,,392.87,0,392.87,409.13,0.06,409.19,,454.9,0,0,-91.2,12.4,2.66,44.91,77.79,501.46,-92.27,0,-92.27,,0,0,0,0,0,-92.27,-92.27,-92.27,,,-6.54,-6.54,,0,0,,0,0,,0,0,0
ANTGRAPHIC,Antarctica Ltd.,,1.57,0,1.57,1.57,0,1.57,,0.52,0,0,-0.05,0.22,0.01,0.12,0.88,1.7,-0.13,0,-0.13,,0,0,0.01,0,0.01,-0.14,-0.14,-0.14,,,-0.01,-0.01,,0,0,,0,0,,0,0,0
ANUP,The Anup Engineering Ltd.,,231.9,0,231.9,242.99,4.58,247.57,,102.48,18.64,0,-5.37,15.46,1.8,7.93,47.85,188.78,58.79,0,58.79,,14.92,0,1.88,0,16.8,41.99,41.99,41.99,,,41.19,40.85,,0,0,,0,0,,0,0,70
APEX,Apex Frozen Foods Ltd.,,874.71,0,874.71,874.71,21.46,896.17,,585.64,0,66.71,-4.69,48.21,6.55,10.86,89.21,802.5,93.67,0,93.67,,32.61,0,0.27,0,32.88,60.8,60.8,60.8,,,19.45,19.45,,0,0,,0,0,,7.53,0,20
APLAPOLLO,APL Apollo Tubes Ltd.,,"5,661.82",0,"5,661.82","5,868.47",42.49,"5,910.96",,"4,896.66",427.73,0,-78.91,78.53,101.35,53.13,257.12,"5,735.61",175.35,0,175.35,,38.3,0,10.66,0,48.96,126.39,126.39,126.39,,,53.25,52.65,,0,0,,0,0,,33.22,0.04,140
APLLTD,Alembic Pharmaceuticals Ltd.,,"3,533.84",0,"3,533.84","3,660.27",6.42,"3,666.69",,850.04,230.45,0,-80.42,684.45,14.87,105.59,"1,097.08","2,902.06",764.63,0,764.63,,157.52,0,0,-4.1,153.42,611.21,611.21,611.21,,,32.42,32.42,,0,0,,0,0,,75.41,15.5,275
APOLLOTYRE,Apollo Tyres Ltd.,,"12,089.58",0,"12,089.58","12,353.77",111.47,"12,465.24",,"7,583.84",735.53,0,-261.47,737.24,137.86,446.33,"2,079.51","11,458.84","1,006.39",-200,806.39,,180.65,0,33.63,0,214.28,592.11,592.11,592.11,,,10.35,10.35,,"3,284.23","4,299.61",,8.06,91.88,,171.62,35.28,325
APOLSINHOT,Apollo Sindoori Hotels Ltd.,,165.43,0,165.43,165.43,3.55,168.98,,0,0,55.19,0,86.1,0.1,0.97,13.17,155.52,13.46,0,13.46,,3.98,0,-0.36,0,3.62,9.84,9.84,9.84,,,37.83,37.83,,0,0,,0,0,,0.65,0.13,30
ARCHIDPLY,Archidply Industries Ltd.,,326.66,0,326.66,330.42,1.52,331.94,,144.93,61.95,20.55,4.51,34.44,9.83,6.41,44.27,326.9,5.04,0,5.04,,1.05,0,-0.42,0,0.63,4.42,4.46,4.46,,,2.02,2.02,,54.35,90.58,,0.49,4.72,,0,0,0
ARCHIES,Archies Ltd.,,158.75,0,158.75,161.36,1.84,163.2,,11,50.99,0,-3.34,31.88,2.7,4.06,65.19,162.48,0.73,0,0.73,,0.15,0.15,0,0,0,0.73,0.73,0.73,,,0.21,0.21,,0,0,,0,0.24,,0,0,0
ARCOTECH,Arcotech Ltd.,,451.88,0,451.88,452.11,2.28,454.39,,467.48,0,0,22,6.59,58.09,10.6,26.66,591.42,-137.03,0,-137.03,,0,0,-44.89,0,-44.89,-92.15,-92.15,-92.15,,,-8.78,-8.78,,0,0,,0,0,,0,0,0
ARENTERP,Rajdarshan Industries Ltd.,,1.61,0,1.61,1.61,0.43,2.05,,0,0,0,0,0.53,0,0.06,0.66,1.25,0.8,0,0.8,,0.2,0,0.02,0,0.22,0.58,0.58,0.58,,,2.2,2.2,,0,0,,0.03,0.01,,0,0,0
ARIES,Aries Agro Ltd.,,265.32,0,265.32,265.32,7.51,272.83,,64.83,50.96,17.77,-1.05,30.02,27.4,2.41,57.75,250.09,22.74,0,22.74,,8.09,0,-0.29,0.04,7.84,14.9,14.9,14.9,,,11.46,11.46,,12.09,37.2,,0,0,,0,0,18
ARIHANTSUP,Arihant Superstructures Ltd.,,67.72,0,67.72,67.72,2.9,70.62,,0,0,32.65,7.02,3.97,11.73,0.71,12.22,68.3,2.32,0,2.32,,0,0,-0.1,0,-0.1,2.42,2.42,2.42,,,0.59,0.59,,0,0,,0,0,,2.48,0,5
ARROWGREEN,Arrow Greentech Ltd.,,43.39,0,43.39,43.4,7.69,51.09,,3.67,22.98,0,-0.63,8.72,0,3.41,11.93,50.08,1.01,0,1.01,,1.1,0,-0.28,0,0.82,0.19,0.19,0.19,,,0.16,0.16,,0,0,,0,0,,2.35,0,5
ARVIND,Arvind Ltd.,,"6,242.92",0,"6,242.92","6,435.96",103.85,"6,539.81",,"2,822.50",154.7,4.44,3.27,779.19,213.38,209.75,"2,038.73","6,225.96",313.85,-70.85,243,,53.56,0,-56,31.97,29.53,213.47,213.47,199.44,,,7.71,7.71,,0,0,,0,0,,62.07,12.34,20
ARVSMART,Arvind SmartSpaces Ltd.,,216.56,0,216.56,233.82,16.25,250.07,,0,0,77.56,65.66,11.43,20.14,0.88,16.26,191.91,58.15,0,58.15,,0,0,12.12,0,12.12,46.03,46.03,46.03,,,13.35,13,,0,0,,0,0,,0,0,15
ASAHIINDIA,Asahi India Glass Ltd.,,"2,838.41",0,"2,838.41","2,858.51",20.5,"2,879.01",,955.58,11.47,0,-58.14,260.89,134.54,115.26,"1,168.43","2,588.03",290.98,-2.64,288.34,,61.5,0,36.77,0,98.27,190.07,190.07,190.07,,,7.82,7.82,,0,0,,0,0,,36.46,7.5,100
ASAL,Automotive Stampings and Assemblies Ltd.,,481.28,0,481.28,481.67,1.99,483.66,,374.26,0,0,-12.39,37.5,16.5,9.76,70.67,496.29,-12.63,0,-12.63,,0,0,0,0,0,-12.63,-12.63,-12.63,,,-7.96,-7.96,,0,0,,0,0,,0,0,0
ASHIANA,Ashiana Housing Ltd.,,291,0,291,291,21.3,312.3,,0,57.81,120.18,12.14,26.86,14.9,8.04,45.87,285.8,26.5,0,26.5,,7.85,0,0.97,0,8.82,17.68,17.68,17.68,,,2.13,2.13,,0,0,,0,0,,2.56,0.53,13
ASHIMASYN,Ashima Ltd.,,332.25,0,332.25,335.84,18.21,354.05,,170.66,7.46,0,-1.89,52.25,7.94,5.55,111.66,353.63,0.42,32.36,32.78,,0,0,0,0,0,32.78,32.78,32.78,,,1.39,1.39,,0,0,,0,0,,0,0,0
ASHOKA,Ashoka Buildcon Ltd.,,"3,795.37",0,"3,795.37","3,820.64",115.7,"3,936.34",,0,0,"3,029.98",0,149.03,90.69,76.27,126.46,"3,472.42",463.92,-47.02,416.89,,147.58,0,-16.85,0,130.73,286.16,286.16,286.16,,,10.19,10.19,,0,0,,0,0,,0,0,0
ASIANHOTNR,Asian Hotels (North) Ltd.,,273.52,0,273.52,273.52,8.16,281.68,,0,0,38.67,0,65.24,113.13,19.26,87.47,323.76,-42.08,0,-42.08,,0,0,-8.96,-0.34,-9.3,-32.78,-32.78,-32.78,,,-16.85,-16.85,,0,0,,0,0,,0,0,0
ASIANPAINT,Asian Paints Ltd.,,"16,209.44",0,"16,209.44","16,391.78",284.81,"16,676.59",,"8,647.82","1,010.66",0,-247.86,900.14,78.6,540.77,"2,576.21","13,506.34","3,170.25",0,"3,170.25",,881.64,0,158.61,-2.17,"1,038.08","2,132.17","2,132.17","2,132.17",,,22.23,22.23,,0,0,,0,0,,853.68,173.5,"1,050.00"
ASPINWALL,Aspinwall and Company Ltd.,,263.45,0,263.45,272.42,9.04,281.46,,130.29,10.27,0,-16.91,34.67,7.02,2.52,104.43,272.29,9.17,0,9.17,,2.35,0,-0.7,-0.49,1.16,8.01,8.01,8.01,,,10.24,10.24,,0,0,,0,0,,2.74,0.48,30
ASTRAL,Astral Ltd.,,"1,912.10",0,"1,912.10","1,915.71",11.47,"1,927.18",,"1,231.09",79.14,0,-28.39,75.41,28.05,67.13,254.57,"1,707.00",220.18,-1.99,218.18,,67.64,0,9.1,0,76.74,141.45,141.45,141.45,,,11.76,11.76,,0,0,,0,0,,9.39,0,70
ASTRAZEN,AstraZeneca Pharma Ltd.,,728.24,0,728.24,728.29,16.29,744.58,,62.67,169.84,0,-1.38,197.4,0,14.92,228.46,671.91,72.67,0,72.67,,16.68,0,1.54,0,18.22,54.45,54.45,54.45,,,21.8,21.8,,0,0,,0,0,,0,0,0
ASTRON,Astron Paper & Board Mill Ltd.,,413.3,39.74,373.56,373.95,0.63,374.58,,205.57,15.81,72.45,0.31,12.82,9.77,5.07,16.36,338.15,36.43,0,36.43,,8.61,0,3.18,0,11.8,24.63,24.63,24.63,,,5.3,5.3,,182.38,23.19,,0,0,,0,0,0
ATFL,Agro Tech Foods Ltd.,,823.06,0,823.06,823.53,3.78,827.31,,419.52,142.63,0,-0.13,45.66,0.09,16.77,151.28,775.81,51.5,0,51.5,,18.15,0,-0.55,0,17.59,33.91,33.91,33.91,,,14.49,14.47,,0,0,,0,0,,7.09,0,25
ATGL,Adani Total Gas Ltd.,,"1,813.90",104.53,"1,709.37","1,718.96",86.68,"1,805.64",,0,"1,087.21",0,5.44,42,89.85,67.31,129.67,"1,421.48",384.16,-27.64,356.52,,123.66,0,2.75,1.4,127.81,228.71,228.71,228.71,,,2.08,2.08,,0,0,,0,0,,0,0,25
ATLASCYCLE,Atlas Cycle Industries Ltd.,,537.2,0,537.2,538.36,0.56,538.92,,387.54,23.4,0,8.08,36.45,7.03,4.21,128.62,595.33,-56.41,0,-56.41,,0,0,-10.6,0,-10.6,-45.81,-45.81,-45.81,,,-70.44,-70.44,,0,98.8,,34.03,254.71,,0,0,0
ATNINTER,ATN International Ltd.,,0.21,0,0.21,0.21,0.03,0.24,,0,0,0,0,0.2,0,0.01,0.26,0.47,-0.23,0,-0.23,,0,0,0,0,0,-0.23,-0.23,-0.23,,,-0.06,-0.06,,0,0,,0,0,,0,0,0
ATUL,Atul Ltd.,,"3,862.04",0,"3,862.04","3,915.81",31.36,"3,947.17",,"2,113.21",5.21,0,-60.7,218.57,3.66,111.99,903.33,"3,295.27",651.9,0,651.9,,236.75,0,-13.49,0,223.26,428.64,428.64,428.64,,,144.51,144.51,,0,0,,0,0,,39.94,0,150
AUBANK,AU Small Finance Bank Ltd.,,"2,374.19",333.86,31.38,209.7,"2,949.13",461.91,"3,411.04",,"1,606.53",601.11,61.75,419.74,"1,082.61",195.56,2.76,141.78,340.1,"3,029.23",381.81,381.81,"1,365.84","1,747.64",,95.45,2.76,0,0,17.48,0.0,"1,572.03","1,747.64",,,13.16,12.9,,8,,,,,
AURIONPRO,Aurionpro Solutions Ltd.,,331.89,0,331.89,331.89,24.55,356.43,,0,0,181.91,-13.85,75.74,10.26,9.75,43.65,307.47,48.96,0,48.96,,15.96,0,-3.93,0,12.04,36.93,36.93,36.93,,,15.63,15.63,,0,0,,0,0,,5.67,0,20
AURUM,Aurum Proptech Ltd.,,9.74,0,9.74,9.74,23.59,33.33,,0,0,0,0,5.44,0.28,0.69,7.59,14,19.33,0,19.33,,4.52,0,0.82,0,5.34,13.99,13.99,12.17,,,4.31,4.14,,0,0,,0,0,,0,0,30
AUSOMENT,Ausom Enterprise Ltd.,,439.37,0,439.37,441.46,10.48,451.94,,415.31,0,14.51,3.44,0.13,4.96,0.01,0.9,439.25,12.69,0,12.69,,2.72,0,0,0,2.72,9.97,9.97,9.97,,,7.32,7.32,,0,0,,0,0,,0,0,0
