Symbol,Company Name,INCOME,Revenue From Operations [Gross],Less: Excise/Sevice Tax/Other Levies,Revenue From Operations [Net],Total Operating Revenues,Other Income,Total Revenue,EXPENSES,Cost Of Materials Consumed,Purchase Of Stock-In Trade,Operating And Direct Expenses,"Changes In Inventories Of FG,WIP And Stock-In Trade",Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,Total Expenses,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Exceptional Items,Profit/Loss Before Tax,Tax Expenses-Continued Operations,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Tax For Earlier Years,Total Tax Expenses,Profit/Loss After Tax And Before ExtraOrdinary Items,Profit/Loss From Continuing Operations,Profit/Loss For The Period,OTHER ADDITIONAL INFORMATION,EARNINGS PER SHARE,Basic EPS (Rs.),Diluted EPS (Rs.),"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",Imported Raw Materials,Indigenous Raw Materials,"STORES, SPARES AND LOOSE TOOLS",Imported Stores And Spares,Indigenous Stores And Spares,DIVIDEND AND DIVIDEND PERCENTAGE,Equity Share Dividend,Tax On Dividend,Equity Dividend Rate (%)
ACE,Action Construction Equipment Ltd.,,"1,226.28",0,"1,226.28","1,227.01",15.31,"1,242.32",,877.1,6.06,49.74,-27.21,72.09,12.23,13.94,129.88,"1,133.84",108.48,0,108.48,,26.7,0,1.62,0,28.32,80.16,80.16,80.16,,,7.06,7.06,,0,0,,0.0,0.0,,0,0.0,25
ADANIENT,Adani Enterprises Ltd.,,"13,339.58",0,"13,339.58","13,358.73",391.92,"13,750.65",,0,"10,125.04",0,434.03,312.17,505.93,121.51,"1,483.86","12,982.54",768.11,-212.85,555.26,,95.11,0,91.63,-0.29,186.45,368.81,368.81,368.81,,,3.35,3.35,,0,0,,0.0,0.0,,0,0.0,100
ADANIGREEN,Adani Green Energy Ltd.,,"2,452.00",0,"2,452.00","2,473.00",533,"3,006.00",,0,"4,409.00",0,"-2,014.00",16,257,4,33,"2,705.00",301,122,423,,0,0,59,0,59,364,364,364,,,1.93,1.93,,0,0,,0.0,0.0,,0,0.0,0
ADFFOODS,ADF Foods Industries Ltd.,,228.76,0,228.76,236.64,4.25,240.89,,107.33,7.4,0,-1.66,14.77,1.16,5.89,56.8,191.69,49.19,0,49.19,,12.26,0,0.25,0,12.51,36.69,36.69,36.69,,,18.32,17.56,,0,0,,0.0,0.0,,0,0.01,30
ADORWELD,Ador Welding Ltd.,,445.34,0,445.34,447.28,7.31,454.59,,326.2,9.47,26.74,-11.89,37.56,6.41,11.1,39.31,444.9,9.69,-25.37,-15.68,,1.58,0,-5.27,0,-3.69,-11.99,-11.99,-11.99,,,-8.82,-8.82,,0,0,,0.0,0.0,,0,0.0,0
ADROITINFO,Adroit Infotech Ltd.,,6.18,0,6.18,6.18,0.89,7.07,,0,0,0,0,3.29,0.18,1.09,1.06,5.62,1.45,-1.42,0.03,,0.03,0,0,0,0.03,0,0,0,,,0,0,,0,0,,0.0,0.0,,0,0.0,0
ADSL,Allied Digital Services Ltd.,,96.1,0,96.1,96.19,4.06,100.25,,0,24.12,0,0.09,35.46,3.47,12.67,16.61,92.42,7.83,0,7.83,,1.31,1.14,-0.11,0,0.06,7.77,7.77,7.77,,,1.55,1.45,,0,0,,0.0,0.0,,2.51,0.0,15
ADVANIHOTR,Advani Hotels and Resorts (India) Ltd.,,26.43,0,26.43,27.47,0.71,28.18,,0,0,2.16,0,14.84,0.2,3.27,13.16,33.63,-5.45,0,-5.45,,0,0,-1.38,0.01,-1.37,-4.08,-4.08,-4.08,,,-0.88,-0.88,,0,0,,0.0,0.0,,0,0.0,0
AGARIND,Agarwal Industrial Corporation Ltd.,,833.29,0,833.29,833.29,5.66,838.95,,174.27,573.48,50.25,-25.11,5.14,9.76,11.8,9.73,809.31,29.64,0,29.64,,8.11,0,-0.5,0.48,8.09,21.55,21.55,21.55,,,21.01,21.01,,0,0,,0.0,0.0,,1.54,0.0,18
AGI,AGI Greenpac Ltd.,,"1,822.69",0,"1,822.69","1,852.59",27.96,"1,880.55",,728.24,0.01,0,40.42,222.83,71.88,121.36,580.99,"1,765.73",114.83,0,114.83,,21.38,5.32,25.42,-14.71,26.77,88.06,88.06,88.06,,,12.71,12.71,,0,0,,0.0,0.0,,21.69,0.0,200
AGRITECH,Agri-Tech (India) Ltd.,,0.19,0,0.19,0.19,0.71,0.9,,0,0,0.24,0,0.27,0.71,0.02,2.88,4.11,-3.21,0,-3.21,,0,0,0,0,0,-3.21,-3.21,-3.21,,,-5.4,-5.4,,0,0,,0.0,0.0,,0,0.0,0
AGROPHOS,Agro Phos India Ltd.,,41.24,0,41.24,41.24,18.97,60.21,,32.18,10.64,0,-3.01,2.46,1.95,1.1,11.31,56.63,3.58,0,3.58,,1.21,0,-0.81,0,0.4,3.18,3.18,3.18,,,1.57,1.57,,0,0,,0.0,0.0,,0,0.0,0
AIAENG,AIA Engineering Ltd.,,"2,410.32",0,"2,410.32","2,472.99",144.81,"2,617.80",,"1,080.78",33.08,0,-12.43,98.06,3.99,90.97,675.34,"1,969.79",648.01,0,648.01,,186.28,0,-23.17,0,163.11,484.9,484.9,484.9,,,51.41,51.41,,0,0,,0.0,0.0,,0,0.0,450
AIRAN,Airan Ltd.,,62.86,0,62.86,62.86,1.82,64.68,,0,0,15.47,0,32.82,0.47,4.17,4.57,57.5,7.18,0,7.18,,1.9,0,-0.29,0,1.61,5.57,5.57,5.57,,,0.44,0.44,,0,0,,0.0,0.0,,0,0.0,0
AJANTPHARM,Ajanta Pharma Ltd.,,"2,674.10",0,"2,674.10","2,718.59",103.57,"2,822.16",,704.09,100.59,0,-74.6,498.11,6.9,111.49,573.49,"1,920.07",902.09,0,902.09,,225.06,0,9.77,-8.38,226.45,675.64,675.64,675.64,,,77.59,77.59,,0,0,,0.0,0.0,,82.9,31.64,475
AJMERA,Ajmera Realty and Infra India Ltd.,,288.68,0,288.68,288.68,2.53,291.21,,0,0,139.88,0,23.26,50.72,1.48,44.3,259.64,31.57,0,31.57,,7.94,0,0,0,7.94,23.62,23.62,23.62,,,6.86,6.86,,0,0,,0.0,0.0,,4.97,0.0,14
AKSHARCHEM,AksharChem (India) Ltd.,,237.59,0,237.59,246.48,1.13,247.61,,141.64,8.63,0,-8.09,10.84,0.69,7.05,69.55,230.31,17.3,0,17.3,,3.34,0,1.77,-0.3,4.8,12.5,12.5,12.5,,,15.24,15.24,,0,0,,0.0,0.0,,0,0.0,35
AKSHOPTFBR,Aksh Optifibre Ltd.,,242.57,0,242.57,246.46,6.33,252.79,,122.44,2.22,0,1.85,24.45,21.63,15.54,60.71,248.84,3.95,-0.87,3.08,,0,0,0.68,0.18,0.86,2.23,2.23,2.23,,,0.14,0.14,,0,0,,0.0,0.0,,0,0.0,0
AKZOINDIA,Akzo Nobel India Ltd.,,"2,397.10",0.00,"2,397.10","2,421.40",23.20,"2,444.60",,"1,166.20",173.70,0.00,-17.20,251.10,10.30,75.50,506.80,"2,166.40",278.20,0.00,278.20,,76.30,0.00,-5.70,0.0,70.60,207.60,207.60,207.60,,,45.60,45.6,,0.0,0.00,,0.0,0.0,,154.80,0.0,500.00
ALBERTDAVD,Albert David Ltd.,,246.31,0,246.31,247.45,17.18,264.63,,36.75,46.12,0,3.3,82.7,0.65,8.23,59.43,237.19,27.44,0,27.44,,5.83,0,0.93,-1.45,5.3,22.14,22.14,22.14,,,38.8,38.8,,0,0,,0.0,0.0,,0,0.0,60
ALEMBICLTD,Alembic Ltd.,,66.92,0,66.92,72.3,9.97,82.27,,11.77,0,12.86,-2.39,22.6,0.27,3.91,16.74,65.75,16.52,0,16.52,,2.9,0,0.31,-0.06,3.15,13.36,13.36,13.36,,,0.52,0.52,,0,0,,0.0,0.0,,15.41,0.0,10
ALKALI,Alkali Metals Ltd.,,55.38,0,55.38,55.38,0.19,55.57,,23.82,0,0,-2.85,9.7,2.54,3.35,18.64,55.2,0.37,-0.14,0.22,,0.05,0.05,1.43,0,1.43,-1.21,-1.21,-1.21,,,-0.9,-0.9,,0,0,,0.0,0.0,,0,0.0,8
ALKEM,Alkem Laboratories Ltd.,,"7,088.08",0.00,"7,088.08","7,219.68",190.01,"7,409.69",,"2,046.52",919.79,0.00,-301.29,"1,158.72",42.93,198.93,"1,447.01","5,512.61","1,897.08",-12.78,"1,884.30",,331.83,0.00,-132.61,0.0,199.22,"1,685.08","1,685.08","1,685.08",,,140.93,140.93,,0.0,0.00,,0.0,0.0,,334.78,0.0,"1,500.00"
ALLSEC,ALLSEC Technologies Ltd.,,188.65,0,188.65,188.65,3.81,192.46,,0,0,0,0,116.87,2.1,17.19,35.02,171.18,21.28,0,21.28,,5.57,0,-0.26,0,5.31,15.97,15.97,15.97,,,10.48,10.48,,0,0,,0.0,0.0,,0,0.0,150
ALPA,Alpa Laboratories Ltd.,,96.41,0,96.41,97.55,4.41,101.96,,54.23,6.39,5.29,-1.15,11.75,0.1,1.23,13.34,91.17,10.79,0,10.79,,2.5,0,1.14,-0.11,3.53,7.26,7.26,7.26,,,3.46,3.46,,0,0,,0.0,0.0,,0,0.0,0
ALPHAGEO,Alphageo (India) Ltd.,,143.10,0.00,143.10,143.10,22.53,165.63,,0.00,0.00,107.06,0.00,11.67,1.78,25.93,9.18,155.62,10.01,0.00,10.01,,5.53,0.00,-2.95,0.0,2.58,7.43,7.43,7.43,,,11.68,11.68,,0.0,0.00,,0.0,0.0,,0.00,0.0,80.00
ALPSINDUS,Alps Industries Ltd.,,240.11,0,240.11,254.1,1.14,255.24,,150.01,0,16.8,4.63,34.04,57.6,8.03,43.47,338.75,-83.51,8.95,-74.56,,0,0,0,0,0,-74.56,-74.56,-74.56,,,-19.06,-19.06,,7.1,142.91,,0.45,3.19,,0,0.0,0
AMBICAAGAR,Ambica Agar Ltd.,,143.4,0,143.4,143.4,4.36,147.77,,11.28,107.51,0,3.56,4.37,7.43,3.15,10.96,148.27,-0.5,0,-0.5,,0,0,-3.24,0,-3.24,2.74,2.74,2.74,,,1.59,1.59,,0,0,,0.0,0.0,,0,0.0,0
AMBIKCO,Ambika Cotton Mills Ltd.,,614.82,0,614.82,633.36,0.33,633.7,,355.37,0,0,45.91,37.4,6.45,28.94,69.25,543.31,90.39,0,90.39,,26.05,0,-3.6,0,22.44,67.95,67.95,67.95,,,118.68,118.68,,0,0,,0.0,0.0,,8.59,0.0,350
AMDIND,AMD Industries Ltd.,,116.93,0,116.93,118.61,0.99,119.6,,68.46,0.61,0,-0.67,11.84,5.57,9.44,26.27,121.53,-1.93,6.05,4.12,,0.4,0,0.6,0.02,1.01,3.11,3.11,3.11,,,1.62,1.62,,0,0,,0.0,0.0,,0,0.0,0
AMJLAND,AMJ Land Ltd.,,10.9,0,10.9,11.21,7.32,18.52,,0,0,2.67,4.06,1.44,0,1.85,1.78,11.8,6.72,0,6.72,,1.22,0,0.85,0,2.07,4.65,4.65,4.65,,,1.14,1.14,,0,0,,0.0,0.0,,0,0.0,10
AMRUTANJAN,Amrutanjan Health Care Ltd.,,331.55,0,331.55,332.84,11.32,344.16,,87.06,48.12,0,5.01,41.7,0.5,3.67,76.2,262.26,81.9,0,81.9,,19.73,0,0.98,0,20.71,61.19,61.19,61.19,,,20.94,20.94,,0,0,,0.0,0.0,,4.68,0.0,420
ANANTRAJ,Anant Raj Ltd.,,256.48,0,256.48,256.48,19.03,275.51,,0,0,175.8,0,11.3,24.43,15.11,18.56,245.2,30.31,0,30.31,,5.3,0,4.9,0,10.2,20.11,20.11,20.11,,,0.69,0.69,,0,0,,0.0,0.0,,0.83,0.0,5
ANDHRAPAP,Andhra Paper Ltd.,,879.49,0,879.49,886.75,15.22,901.97,,525.31,0,0,52.59,142.98,4.51,73.38,104.98,903.76,-1.79,-4.41,-6.2,,5.49,0,-7.09,0,-1.6,-4.6,-4.6,-4.6,,,-1.16,-1.16,,0,0,,0.0,0.0,,0,0.0,50
ANDHRSUGAR,The Andhra Sugar Ltd.,,943.97,0,943.97,949.72,25.2,974.92,,288.38,0,0,30.63,119.94,55.63,25.92,315.84,836.35,138.57,-9.53,129.04,,37.45,0,-5.15,-5.35,26.94,102.09,102.09,102.09,,,37.66,37.66,,58.17,230.21,,37.62,35.72,,0,0.0,100
ANIKINDS,Anik Industries Ltd.,,133.71,0,133.71,133.71,16.92,150.63,,34.76,86.82,0,-4.29,2.89,10.73,0.82,12.59,144.31,6.32,0,6.32,,0.12,0,1.63,0,1.75,4.57,4.57,4.57,,,1.64,1.64,,0,0,,0.0,0.0,,0,0.0,0
ANKITMETAL,Ankit Metal and Power Ltd.,,344.82,0,344.82,417.87,0.05,417.92,,488.73,32.53,0,-192.85,9.77,18.65,44.31,92.48,493.62,-75.71,0,-75.71,,0,0,0,0,0,-75.71,-75.71,-75.71,,,-5.36,-5.36,,0,0,,0.0,0.0,,0,0.0,0
ANTGRAPHIC,Antarctica Ltd.,,1.08,0,1.08,1.08,0.16,1.23,,0.36,0,0,-0.06,0.11,0,0.12,0.69,1.22,0.02,0,0.02,,0,0,0,0,0,0.02,0.02,0.02,,,0,0,,0,0,,0.0,0.0,,0,0.0,0
ANUP,The Anup Engineering Ltd.,,272.93,0,272.93,279.13,3.73,282.86,,140.4,0,0,7.67,17.38,0.34,10.51,44.86,221.15,61.71,0,61.71,,15.15,0,-0.29,-6.92,7.94,53.76,53.76,53.76,,,52.75,52.75,,0,0,,0.0,0.0,,7.15,0.0,70
APEX,Apex Frozen Foods Ltd.,,818.48,0,818.48,818.48,7.53,826.01,,530.3,0,62.38,22.85,39.81,15.92,21.95,72.21,765.41,60.6,0,60.6,,15.25,0,1.06,0,16.32,44.29,44.29,44.29,,,14.17,14.17,,0,0,,0.0,0.0,,0,0.0,20
APLAPOLLO,APL Apollo Tubes Ltd.,,"5,815.93",0,"5,815.93","6,007.96",44.11,"6,052.07",,"4,475.04",894.04,0,-20.24,76.12,54.89,68.18,299.03,"5,847.06",205.01,0,205.01,,47.38,0,3.1,0.75,51.23,153.78,153.78,153.78,,,12.34,12.3,,0,0,,0.0,0.0,,0,0.0,0
APLLTD,Alembic Pharmaceuticals Ltd.,,"4,934.86",0,"4,934.86","5,051.44",9.73,"5,061.17",,"1,175.71",279.33,0,-157.13,948.27,12.77,152.6,"1,233.03","3,644.58","1,416.59",0,"1,416.59",,241.2,0,0,0,241.2,"1,175.39","1,175.39","1,175.39",,,60.67,60.67,,0,0,,0.0,0.0,,0,0.0,700
APOLLOTYRE,Apollo Tyres Ltd.,,"11,354.51",0,"11,354.51","11,733.40",121.52,"11,854.92",,"6,238.32",694.83,0,6.92,910.9,379.41,713.38,"1,848.11","10,791.87","1,063.06",-11.02,"1,052.04",,190.44,0,138.78,0,329.22,722.82,722.82,722.82,,,11.72,11.72,,"1,953.03","4,285.29",,7.18,76.61,,0,0.0,350
APOLSINHOT,Apollo Sindoori Hotels Ltd.,,161.28,0,161.28,161.28,3.99,165.26,,0,0,54.36,0,87.79,1.18,2.7,11.35,157.37,7.89,0,7.89,,1.6,0,0.21,-0.47,1.35,6.54,6.54,6.54,,,25.15,25.15,,0,0,,0.0,0.0,,0.52,0.0,13
ARCHIDPLY,Archidply Industries Ltd.,,230.13,0,230.13,230.84,0.53,231.37,,89.06,54.37,14.13,8.47,22.94,4.78,4.2,28.75,226.71,4.67,0,4.67,,1.42,0,0,-0.68,2.41,2.26,2.26,2.26,,,1.03,1.03,,2.96,86.1,,0.0,2.98,,0,0.0,0
ARCHIES,Archies Ltd.,,54.14,0,54.14,55.29,22.59,77.89,,8.64,9.44,0,1.35,12.81,7.47,17.15,26.82,81.91,-4.02,0,-4.02,,0,0,-1.65,0,-1.65,-2.38,-2.38,-2.38,,,-0.7,-0.7,,0,0,,0.0,0.0,,0,0.0,0
ARCOTECH,Arcotech Ltd.,,52.27,0,52.27,52.37,0.79,53.16,,53.91,0,0,-2.4,1.05,25.07,11.06,3.61,92.31,-39.15,0,-39.15,,0,0,-12.63,0,-12.63,-26.52,-26.52,-26.52,,,-2.53,-2.53,,0,0,,0.0,0.0,,0,0.0,0
ARENTERP,Rajdarshan Industries Ltd.,,0,0,0,0,1.25,1.25,,0,0,0,0,0.2,0,0.02,0.12,0.34,0.91,0,0.91,,0.07,0,0.14,0,0.21,0.71,0.71,0.71,,,8.97,8.97,,0,0,,0.0,0.0,,0,0.0,0
ARIES,Aries Agro Ltd.,,381.46,0,381.46,381.46,5.23,386.69,,176.49,0,20.69,11.33,40.92,25.93,6.38,74.85,356.6,30.08,0,30.08,,6.4,0,0.98,0.06,7.44,22.64,22.64,22.64,,,17.41,17.41,,21.59,80.21,,0.0,0.0,,0,0.0,8
ARIHANTSUP,Arihant Superstructures Ltd.,,104.9,0,104.9,105.44,1.79,107.22,,0,0,60.25,23.34,3.05,9.61,0.74,6.37,103.36,3.86,0,3.86,,1.13,1.13,-0.04,0,-0.04,3.9,3.9,3.9,,,0.95,0.95,,0,0,,0.0,0.0,,0,0.0,0
ARROWGREEN,Arrow Greentech Ltd.,,26.69,0,26.69,26.77,3.14,29.91,,3.82,3.17,0,1.45,5.82,0.63,4.22,9.19,28.31,1.61,0,1.61,,0.27,0,-1.19,0,-0.92,2.52,2.52,2.52,,,1.79,1.79,,0,0,,0.0,0.0,,0,0.0,0
ARVIND,Arvind Ltd.,,"4,348.79",0,"4,348.79","4,528.54",64.62,"4,593.16",,"1,952.93",107.44,23.97,131.16,586.88,209.65,236.43,"1,261.73","4,510.19",82.97,-26.93,56.04,,3.4,0,-35.2,-4.83,-36.63,92.67,92.67,92.67,,,3.58,3.57,,0,0,,0.0,0.0,,0,0.0,0
ARVSMART,Arvind SmartSpaces Ltd.,,84.88,0,84.88,93.87,17.66,111.53,,0,0,22.65,24.08,11.01,19.67,0.86,15.27,93.54,17.99,0,17.99,,4,0,0.02,0,4.02,13.97,13.97,13.97,,,3.93,3.93,,0,0,,0.0,0.0,,0,0.0,0
ASAHIINDIA,Asahi India Glass Ltd.,,"2,365.31",0,"2,365.31","2,380.49",39.92,"2,420.41",,707.25,15.37,0,106.2,244.21,138.45,127.45,863.5,"2,202.43",217.98,0,217.98,,59.54,0,17.59,2.01,79.14,138.84,138.84,138.84,,,5.71,5.71,,0,0,,0.0,0.0,,0,0.0,100
ASAL,Automotive Stampings and Assemblies Ltd.,,339.11,0.00,339.11,339.13,0.05,339.18,,256.03,0.00,0.00,1.95,29.20,18.29,11.46,51.95,368.88,-29.70,0.00,-29.70,,0.00,0.00,0.00,0.0,0.00,-29.70,-29.70,-29.70,,,-18.72,-18.72,,0.0,0.00,,0.0,0.0,,0.00,0.0,0.00
ASHIANA,Ashiana Housing Ltd.,,191.52,0,191.52,191.52,25.59,217.11,,0,0,236.73,-97.98,22.6,8.9,8.52,35.26,214.03,3.08,0,3.08,,0,0,-0.55,0,-0.55,3.63,3.63,3.63,,,0.46,0.46,,0,0,,0.0,0.0,,3.07,0.0,20
ASHIMASYN,Ashima Ltd.,,140.18,0,140.18,141.47,11.19,152.66,,58.91,3.74,0,15.75,36.31,3.17,4.63,41.74,164.25,-11.59,0,-11.59,,0,0,0,0.17,0.17,-11.76,-11.76,-11.76,,,-0.61,-0.61,,0,0,,0.0,0.0,,0,0.0,0
ASHOKA,Ashoka Buildcon Ltd.,,"3,769.68",0,"3,769.68","3,817.52",192.08,"4,009.60",,0,0,"2,979.05",0,168.48,77.17,87.2,150.47,"3,462.37",547.23,0,547.23,,143.11,0,-4.01,0,139.1,408.13,408.13,408.13,,,14.54,14.54,,0,0,,0.0,0.0,,0,0.0,0
ASIANHOTNR,Asian Hotels (North) Ltd.,,72.58,0.00,72.58,72.58,1.87,74.45,,0.00,0.00,11.36,0.00,36.04,91.05,16.82,45.16,200.43,-125.98,-569.15,-695.13,,0.00,0.00,0.00,0.01,0.01,-695.14,-695.14,-695.14,,,-357.34,-357.34,,0.0,0.00,,0.0,0.0,,0.00,0.0,0.00
ASIANPAINT,Asian Paints Ltd.,,"18,280.06",0,"18,280.06","18,516.86",366.02,"18,882.88",,"8,524.17","1,649.06",0,-90.7,"1,128.66",71.66,697.47,"2,812.89","14,793.21","4,089.67",0,"4,089.67",,"1,052.72",0,-21.31,6.46,"1,037.87","3,051.80","3,051.80","3,051.80",,,31.82,31.82,,0,0,,0.0,0.0,,465.23,0.0,"1,785.00"
ASPINWALL,Aspinwall and Company Ltd.,,246.77,0.00,246.77,249.71,5.27,254.98,,65.85,11.23,0.00,5.98,36.56,4.19,3.22,116.36,245.79,9.19,0.00,9.19,,2.36,0.00,0.37,0.0,2.73,6.46,6.46,6.46,,,8.26,8.26,,0.0,0.00,,0.0,0.0,,0.00,0.0,35.00
ASTRAL,Astral Ltd.,,"2,482.30",0.00,"2,482.30","2,486.30",20.70,"2,507.00",,"1,453.20",62.30,0.00,39.10,104.30,7.60,96.20,292.90,"2,055.60",451.40,-12.30,439.10,,112.10,0.00,0.10,0.0,112.20,326.90,326.90,326.90,,,16.27,16.27,,0.0,0.00,,0.0,0.0,,15.10,0.0,200.00
ASTRAZEN,AstraZeneca Pharma Ltd.,,813.56,0,813.56,813.56,12.84,826.4,,97.26,194.74,0,2.95,219.54,1.09,20.13,163.6,699.31,127.09,0,127.09,,34.83,0,-1.04,0,33.79,93.3,93.3,93.3,,,37.3,37.3,,0,0,,0.0,0.0,,5,0.0,100
ASTRON,Astron Paper & Board Mill Ltd.,,477.23,43.5,433.73,435.18,3.15,438.34,,274.85,0.0,100.0,0.09,16.5,9.74,6.04,4.24,411.47,26.87,0.0,26.87,,3.22,0.0,1.83,0.0,5.05,21.82,21.82,21.82,,,2.09,2.09,,21.58,2.94,,0.0,0.0,,0.0,0.0,0.0
ATFL,Agro Tech Foods Ltd.,,891.33,0,891.33,891.69,1.9,893.59,,512.26,118.82,0,-13.19,48.16,1.77,18,165.81,851.64,41.95,0,41.95,,9.88,0,1.78,0,11.65,30.3,30.3,30.3,,,12.81,12.81,,0,0,,0.0,0.0,,7.09,0.0,30
ATGL,Adani Total Gas Ltd.,,"1,772.50",88.87,"1,683.63","1,695.60",44.36,"1,739.96",,0.00,770.70,0.00,-1.08,51.52,40.48,62.52,170.14,"1,094.28",645.68,-14.47,631.21,,138.54,0.00,20.17,0.55,159.26,471.95,471.95,471.95,,,4.29,4.29,,0.0,0.00,,0.0,0.0,,0.00,0.0,25.00
ATLASCYCLE,Atlas Cycle Industries Ltd.,,17.22,0,17.22,17.3,0.07,17.37,,11.72,0,0,1.95,19.1,0.08,3.62,16.1,52.56,-35.19,0,-35.19,,0,0,0,0,0,-35.19,-35.19,-35.19,,,-54.11,-54.11,,0,11.72,,0.0,0.0,,0,0.0,0
ATNINTER,ATN International Ltd.,,0.06,0,0.06,0.06,0,0.06,,0,0,0,0,0.23,0,0,5.37,5.6,-5.54,0,-5.54,,0,0,0,0,0,-5.54,-5.54,-5.54,,,-1.4,-1.4,,0,0,,0.0,0.0,,0,0.0,0
ATUL,Atul Ltd.,,"3,477.57",0.00,"3,477.57","3,512.35",103.71,"3,616.06",,"1,525.01",139.73,0.00,-63.31,249.10,1.97,120.23,815.58,"2,788.31",827.75,0.00,827.75,,199.19,0.00,-2.33,0.0,196.86,630.89,630.89,630.89,,,212.78,212.78,,0.0,0.00,,0.0,0.0,,0.00,0.0,200.00
